This is a job step 14


----------------------------------------------------
STRUCTURE by Pritchard, Stephens and Donnelly (2000)
     and Falush, Stephens and Pritchard (2003)
       Code by Pritchard, Falush and Hubisz
             Version 2.3.4 (Jul 2012)
----------------------------------------------------


Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/mainparamsfiles/mainparamsbigfile".
datafile is
/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str
Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/extraparams_bigfile".
Note: RANDOMIZE is set to 1. The random number generator will be initialized using the system clock, ignoring any specified value of SEED.
Reading file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str".


Data file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str" (truncated) --

Ind:   Label Pop : Genotype_data . . . .
  1: QC-ANG-01    1  :110 167 287 296 254 146 173  . . . . 291
  1: QC-ANG-01    1  :110 179 295 312 358 210 175  . . . . 315
  2: QC-ANG-11    1  :130 171 291 312 322 210 193  . . . . 283
  2: QC-ANG-11    1  :130 175 303 336 338 242 199  . . . . 303
  3: QC-ANG-12    1  :106 175 279 312 278 198 171  . . . . 315
  3: QC-ANG-12    1  :130 191 307 372 342 210 201  . . . . 319
  4: QC-ANG-13    1  :128 159 291 320 314 214 159  . . . . 287
  4: QC-ANG-13    1  :128 167 295 344 326 254 201  . . . . 315

      *******   

9141: US-NA11574  153  :122 203 283 312 254 198 173  . . . . 303
9141: US-NA11574  153  :128 203 303 340 290 206 173  . . . . 307
9142: US-NA11575  153  :122 167 283 300 254 214 173  . . . . 295
9142: US-NA11575  153  :128 167 303 336 290 298 173  . . . . 339

Number of alleles per locus: min=15; ave=39.8; max=91


--------------------------------------

Finished initialization; starting MCMC 
1000000 iterations + 100000 burnin


--------------------------------------------
Proportion of membership of each pre-defined
 population in each of the 14 clusters

Given    Inferred Clusters                                                                                    Number of
 Pop       1      2      3      4      5      6      7      8      9     10     11     12     13     14      Individuals
 49:     0.054  0.041  0.041  0.024  0.049  0.029  0.432  0.070  0.066  0.018  0.024  0.050  0.074  0.028       57
 50:     0.049  0.061  0.070  0.047  0.052  0.059  0.205  0.053  0.037  0.052  0.031  0.143  0.102  0.038       49
 51:     0.043  0.032  0.083  0.134  0.087  0.072  0.049  0.065  0.034  0.060  0.104  0.030  0.167  0.039       42
 52:     0.053  0.090  0.095  0.054  0.041  0.030  0.067  0.067  0.172  0.038  0.030  0.097  0.110  0.054       50
 53:     0.025  0.138  0.099  0.190  0.043  0.046  0.041  0.032  0.060  0.066  0.038  0.090  0.086  0.047       50
 54:     0.036  0.119  0.175  0.100  0.067  0.102  0.029  0.068  0.048  0.029  0.024  0.086  0.079  0.039       44
 55:     0.055  0.100  0.158  0.130  0.072  0.073  0.021  0.034  0.059  0.073  0.037  0.069  0.058  0.061       50
 56:     0.028  0.069  0.224  0.029  0.100  0.036  0.014  0.025  0.109  0.023  0.039  0.240  0.030  0.035       30
 57:     0.037  0.102  0.055  0.114  0.068  0.107  0.032  0.038  0.078  0.065  0.032  0.132  0.079  0.060       50
 58:     0.057  0.121  0.111  0.061  0.069  0.079  0.033  0.057  0.060  0.049  0.057  0.074  0.092  0.082       50
 59:     0.024  0.115  0.145  0.073  0.088  0.072  0.019  0.024  0.136  0.049  0.070  0.083  0.031  0.072       33
 60:     0.027  0.037  0.116  0.150  0.065  0.142  0.023  0.006  0.129  0.064  0.033  0.169  0.036  0.003        9
 61:     0.034  0.064  0.108  0.223  0.067  0.073  0.028  0.058  0.061  0.032  0.043  0.084  0.075  0.051       50
 62:     0.021  0.149  0.102  0.184  0.080  0.057  0.023  0.033  0.090  0.047  0.019  0.092  0.035  0.068       32
 63:     0.052  0.130  0.103  0.104  0.082  0.102  0.020  0.023  0.093  0.044  0.064  0.065  0.074  0.044       50
 64:     0.046  0.210  0.148  0.096  0.035  0.020  0.033  0.025  0.057  0.076  0.060  0.068  0.043  0.083       50
 65:     0.020  0.154  0.214  0.048  0.086  0.068  0.050  0.017  0.066  0.059  0.058  0.085  0.023  0.052       29
 66:     0.025  0.108  0.094  0.130  0.069  0.100  0.036  0.032  0.091  0.030  0.037  0.096  0.095  0.058       50
 67:     0.039  0.108  0.174  0.137  0.014  0.043  0.034  0.069  0.079  0.017  0.064  0.125  0.049  0.048       31
 68:     0.025  0.105  0.128  0.084  0.075  0.049  0.035  0.041  0.101  0.043  0.048  0.097  0.067  0.103       27
 69:     0.054  0.069  0.121  0.096  0.102  0.065  0.022  0.031  0.080  0.101  0.015  0.074  0.116  0.054       20
 70:     0.024  0.087  0.198  0.077  0.067  0.085  0.033  0.041  0.081  0.066  0.033  0.101  0.057  0.049       50
 71:     0.055  0.051  0.067  0.087  0.067  0.068  0.046  0.052  0.198  0.063  0.025  0.067  0.097  0.058       50
 72:     0.037  0.138  0.106  0.083  0.094  0.137  0.023  0.031  0.051  0.052  0.045  0.129  0.026  0.046       37
 73:     0.054  0.028  0.058  0.041  0.062  0.060  0.284  0.079  0.030  0.035  0.055  0.049  0.124  0.041       81
 74:     0.247  0.018  0.054  0.063  0.068  0.041  0.062  0.122  0.043  0.040  0.029  0.056  0.081  0.076       50
 75:     0.087  0.045  0.098  0.063  0.035  0.103  0.032  0.057  0.076  0.081  0.056  0.086  0.053  0.128       50
 76:     0.150  0.063  0.063  0.043  0.041  0.077  0.056  0.110  0.066  0.063  0.048  0.066  0.078  0.076       89
 77:     0.053  0.044  0.076  0.044  0.078  0.106  0.055  0.237  0.032  0.053  0.053  0.051  0.048  0.070      100
 78:     0.064  0.041  0.039  0.054  0.030  0.042  0.363  0.082  0.046  0.048  0.050  0.033  0.069  0.038       94
 79:     0.106  0.061  0.045  0.070  0.035  0.035  0.064  0.041  0.064  0.060  0.048  0.230  0.073  0.069      100
 80:     0.251  0.044  0.087  0.033  0.033  0.031  0.043  0.104  0.054  0.036  0.031  0.068  0.095  0.089       50
 81:     0.203  0.034  0.078  0.050  0.049  0.052  0.023  0.076  0.086  0.087  0.055  0.105  0.056  0.045      100
 82:     0.080  0.058  0.097  0.051  0.050  0.067  0.035  0.062  0.055  0.103  0.055  0.092  0.046  0.148       98
 83:     0.024  0.031  0.041  0.049  0.016  0.057  0.028  0.050  0.035  0.021  0.036  0.020  0.034  0.557       50
 84:     0.054  0.036  0.043  0.036  0.028  0.034  0.462  0.054  0.051  0.039  0.037  0.053  0.029  0.045       99
 85:     0.072  0.083  0.068  0.066  0.064  0.078  0.043  0.077  0.088  0.071  0.047  0.062  0.053  0.127       99
 86:     0.057  0.028  0.036  0.040  0.028  0.053  0.041  0.491  0.025  0.043  0.040  0.048  0.035  0.035      100
 87:     0.118  0.043  0.032  0.028  0.043  0.045  0.052  0.251  0.096  0.051  0.080  0.043  0.053  0.064      100
 88:     0.273  0.045  0.028  0.055  0.055  0.054  0.041  0.089  0.043  0.054  0.041  0.063  0.070  0.090      100
 89:     0.085  0.046  0.083  0.038  0.070  0.076  0.064  0.100  0.079  0.076  0.065  0.089  0.064  0.067       99
 90:     0.155  0.083  0.128  0.057  0.054  0.042  0.056  0.089  0.060  0.031  0.057  0.064  0.043  0.081       48
 91:     0.075  0.026  0.035  0.073  0.023  0.077  0.364  0.033  0.037  0.036  0.044  0.059  0.105  0.013       28
 92:     0.207  0.050  0.081  0.029  0.049  0.046  0.057  0.119  0.061  0.039  0.086  0.071  0.038  0.067       50
 93:     0.419  0.039  0.068  0.030  0.058  0.040  0.058  0.065  0.044  0.040  0.032  0.043  0.031  0.033      100
 94:     0.264  0.044  0.040  0.052  0.034  0.058  0.050  0.077  0.046  0.039  0.030  0.085  0.085  0.096       50
 95:     0.030  0.050  0.066  0.043  0.032  0.169  0.194  0.041  0.047  0.032  0.054  0.098  0.090  0.054       41
 96:     0.165  0.067  0.069  0.038  0.041  0.054  0.041  0.117  0.055  0.063  0.069  0.072  0.078  0.071       81
 97:     0.248  0.046  0.044  0.054  0.047  0.062  0.063  0.039  0.033  0.074  0.036  0.083  0.075  0.093       50
 98:     0.052  0.038  0.080  0.063  0.029  0.044  0.030  0.034  0.041  0.039  0.038  0.047  0.034  0.432      100
 99:     0.063  0.063  0.085  0.051  0.087  0.040  0.067  0.072  0.079  0.064  0.058  0.074  0.081  0.117       89
100:     0.044  0.071  0.084  0.050  0.032  0.057  0.051  0.084  0.042  0.174  0.040  0.101  0.044  0.128       98
101:     0.130  0.048  0.063  0.049  0.051  0.066  0.083  0.102  0.055  0.070  0.059  0.088  0.075  0.062      100
102:     0.016  0.023  0.016  0.013  0.013  0.011  0.015  0.014  0.014  0.018  0.806  0.016  0.013  0.011       95
103:     0.058  0.043  0.068  0.081  0.047  0.076  0.037  0.099  0.070  0.068  0.026  0.079  0.033  0.216       50
104:     0.171  0.028  0.067  0.026  0.040  0.039  0.059  0.120  0.052  0.056  0.043  0.082  0.071  0.148       70
105:     0.068  0.039  0.034  0.047  0.045  0.061  0.314  0.087  0.035  0.040  0.049  0.041  0.101  0.040      100
106:     0.267  0.028  0.056  0.061  0.036  0.045  0.036  0.086  0.050  0.084  0.051  0.074  0.064  0.062       50
107:     0.033  0.032  0.038  0.037  0.043  0.037  0.044  0.414  0.050  0.034  0.058  0.044  0.058  0.078      100
108:     0.102  0.063  0.083  0.032  0.064  0.028  0.072  0.047  0.209  0.031  0.023  0.040  0.027  0.180       50
109:     0.088  0.061  0.089  0.049  0.073  0.056  0.052  0.111  0.047  0.038  0.059  0.065  0.114  0.097      100
110:     0.029  0.071  0.033  0.061  0.064  0.078  0.281  0.051  0.034  0.025  0.052  0.111  0.060  0.051       41
111:     0.073  0.027  0.070  0.056  0.065  0.059  0.266  0.063  0.029  0.049  0.042  0.057  0.098  0.046      100
112:     0.131  0.052  0.074  0.061  0.047  0.033  0.059  0.097  0.064  0.066  0.030  0.102  0.055  0.130       50
113:     0.093  0.037  0.046  0.036  0.030  0.046  0.049  0.290  0.039  0.035  0.055  0.076  0.036  0.131       97
114:     0.045  0.060  0.048  0.034  0.073  0.073  0.217  0.066  0.050  0.041  0.057  0.065  0.101  0.070      100
115:     0.299  0.045  0.034  0.034  0.048  0.037  0.081  0.110  0.050  0.046  0.046  0.068  0.041  0.058       49
116:     0.168  0.030  0.062  0.040  0.052  0.061  0.069  0.108  0.049  0.066  0.059  0.084  0.064  0.089      100
117:     0.084  0.037  0.062  0.055  0.049  0.031  0.086  0.070  0.055  0.086  0.053  0.094  0.060  0.177       50
118:     0.130  0.058  0.075  0.048  0.058  0.035  0.056  0.106  0.067  0.045  0.028  0.100  0.063  0.130      100
119:     0.081  0.077  0.049  0.048  0.072  0.086  0.055  0.093  0.072  0.076  0.054  0.068  0.064  0.104       90
120:     0.065  0.067  0.107  0.106  0.070  0.053  0.047  0.043  0.080  0.082  0.037  0.090  0.093  0.060       70
121:     0.028  0.108  0.046  0.058  0.030  0.036  0.025  0.028  0.052  0.407  0.059  0.038  0.054  0.032       82
122:     0.028  0.022  0.022  0.017  0.024  0.651  0.018  0.038  0.046  0.045  0.027  0.026  0.015  0.021       66
123:     0.057  0.024  0.015  0.041  0.020  0.038  0.018  0.031  0.011  0.670  0.028  0.020  0.013  0.013       28
124:     0.032  0.027  0.045  0.030  0.463  0.072  0.058  0.022  0.043  0.043  0.041  0.039  0.051  0.033       44
125:     0.034  0.018  0.038  0.207  0.313  0.028  0.058  0.027  0.021  0.057  0.026  0.066  0.053  0.054       60
126:     0.044  0.022  0.038  0.064  0.497  0.070  0.042  0.024  0.028  0.054  0.026  0.030  0.029  0.033       83
127:     0.021  0.038  0.037  0.053  0.504  0.029  0.027  0.046  0.033  0.033  0.056  0.048  0.033  0.041       49
128:     0.039  0.025  0.036  0.038  0.519  0.054  0.021  0.043  0.042  0.027  0.038  0.039  0.045  0.033       84
129:     0.044  0.078  0.069  0.072  0.291  0.024  0.020  0.065  0.042  0.042  0.044  0.112  0.043  0.055       53
130:     0.029  0.051  0.107  0.080  0.327  0.054  0.013  0.051  0.057  0.034  0.045  0.055  0.068  0.029       58
131:     0.037  0.053  0.122  0.051  0.250  0.082  0.037  0.047  0.064  0.061  0.050  0.067  0.037  0.041       78
132:     0.034  0.046  0.078  0.069  0.305  0.065  0.030  0.066  0.042  0.081  0.030  0.074  0.052  0.028       59
133:     0.044  0.042  0.087  0.079  0.258  0.069  0.026  0.053  0.056  0.067  0.023  0.070  0.070  0.056       41
134:     0.058  0.048  0.103  0.048  0.194  0.057  0.036  0.067  0.048  0.045  0.111  0.041  0.088  0.057       42
135:     0.061  0.095  0.179  0.047  0.200  0.040  0.043  0.029  0.059  0.064  0.061  0.044  0.041  0.036       30
136:     0.039  0.096  0.128  0.088  0.147  0.065  0.014  0.039  0.068  0.041  0.066  0.101  0.048  0.061       53
137:     0.069  0.078  0.075  0.043  0.064  0.041  0.044  0.059  0.191  0.049  0.043  0.080  0.094  0.070       58
138:     0.058  0.049  0.078  0.278  0.058  0.056  0.033  0.058  0.053  0.055  0.044  0.065  0.082  0.032       84
139:     0.024  0.456  0.048  0.044  0.035  0.078  0.030  0.016  0.061  0.075  0.029  0.036  0.031  0.037       81
140:     0.007  0.010  0.022  0.020  0.013  0.026  0.008  0.018  0.016  0.777  0.011  0.019  0.016  0.037       30
141:     0.036  0.206  0.053  0.022  0.033  0.065  0.015  0.058  0.029  0.287  0.014  0.031  0.088  0.061       37
142:     0.040  0.282  0.047  0.080  0.037  0.066  0.009  0.040  0.067  0.120  0.032  0.053  0.073  0.056       46
143:     0.024  0.457  0.059  0.031  0.034  0.081  0.036  0.067  0.035  0.028  0.034  0.036  0.044  0.033       55
144:     0.028  0.216  0.156  0.065  0.079  0.043  0.022  0.034  0.066  0.038  0.047  0.120  0.041  0.044       52
145:     0.035  0.198  0.110  0.077  0.047  0.055  0.030  0.037  0.093  0.072  0.050  0.117  0.031  0.047       73
146:     0.037  0.092  0.137  0.053  0.049  0.096  0.024  0.052  0.077  0.065  0.078  0.078  0.102  0.060       73
147:     0.037  0.189  0.089  0.103  0.047  0.042  0.025  0.040  0.078  0.096  0.041  0.104  0.048  0.061       53
148:     0.039  0.162  0.202  0.091  0.067  0.052  0.033  0.033  0.076  0.055  0.030  0.071  0.032  0.058       52
149:     0.038  0.131  0.155  0.061  0.067  0.049  0.017  0.060  0.152  0.061  0.046  0.039  0.053  0.073       44
150:     0.024  0.146  0.168  0.085  0.063  0.057  0.027  0.041  0.072  0.064  0.073  0.070  0.049  0.061       80
151:     0.038  0.165  0.125  0.095  0.066  0.043  0.034  0.051  0.076  0.069  0.047  0.104  0.029  0.058       49
152:     0.075  0.044  0.083  0.062  0.062  0.046  0.040  0.066  0.208  0.035  0.034  0.074  0.110  0.060       34
153:     0.063  0.045  0.086  0.137  0.092  0.054  0.042  0.068  0.041  0.086  0.057  0.091  0.088  0.052      100
--------------------------------------------

 Rep#:   Lambda   Alpha      F1    F2    F3    F4    F5    F6    F7    F8    F9    F10    F11    F12    F13    F14     D1,2  D1,3  D1,4  D1,5  D1,6  D1,7  D1,8  D1,9  D1,10  D1,11  D1,12  D1,13  D1,14  D2,3  D2,4  D2,5  D2,6  D2,7  D2,8  D2,9  D2,10  D2,11  D2,12  D2,13  D2,14  D3,4  D3,5  D3,6  D3,7  D3,8  D3,9  D3,10  D3,11  D3,12  D3,13  D3,14  D4,5  D4,6  D4,7  D4,8  D4,9  D4,10  D4,11  D4,12  D4,13  D4,14  D5,6  D5,7  D5,8  D5,9  D5,10  D5,11  D5,12  D5,13  D5,14  D6,7  D6,8  D6,9  D6,10  D6,11  D6,12  D6,13  D6,14  D7,8  D7,9  D7,10  D7,11  D7,12  D7,13  D7,14  D8,9  D8,10  D8,11  D8,12  D8,13  D8,14  D9,10  D9,11  D9,12  D9,13  D9,14  D10,11  D10,12  D10,13  D10,14  D11,12  D11,13  D11,14  D12,13  D12,14  D13,14    Ln Like 
 1000:    1.00    0.182    0.057 0.053 0.007 0.041 0.049 0.056 0.076 0.045 0.030 0.065 0.138 0.006 0.013 0.030    0.078 0.039 0.063 0.078 0.067 0.061 0.035 0.063 0.075 0.101 0.037 0.038 0.037 0.027 0.050 0.058 0.066 0.106 0.062 0.038 0.047 0.105 0.031 0.058 0.047 0.022 0.034 0.039 0.062 0.029 0.020 0.033 0.076 0.006 0.021 0.023 0.038 0.045 0.075 0.044 0.033 0.046 0.097 0.021 0.024 0.048 0.057 0.099 0.064 0.061 0.057 0.113 0.033 0.048 0.062 0.074 0.058 0.064 0.059 0.100 0.039 0.042 0.059 0.067 0.077 0.097 0.137 0.054 0.041 0.077 0.041 0.061 0.094 0.028 0.037 0.032 0.044 0.102 0.020 0.036 0.035 0.106 0.034 0.052 0.058 0.081 0.094 0.090 0.018 0.023 0.041   --  
 2000:    1.00    0.129    0.038 0.043 0.023 0.031 0.042 0.038 0.060 0.032 0.030 0.058 0.125 0.006 0.030 0.023    0.059 0.054 0.046 0.063 0.045 0.051 0.031 0.050 0.060 0.097 0.030 0.053 0.034 0.023 0.038 0.047 0.045 0.085 0.044 0.037 0.033 0.093 0.029 0.054 0.045 0.032 0.037 0.046 0.081 0.038 0.026 0.032 0.090 0.025 0.042 0.036 0.036 0.030 0.058 0.037 0.030 0.041 0.091 0.019 0.027 0.045 0.046 0.082 0.057 0.055 0.046 0.104 0.029 0.043 0.066 0.052 0.044 0.048 0.044 0.086 0.028 0.042 0.051 0.060 0.060 0.080 0.123 0.044 0.047 0.063 0.029 0.048 0.092 0.023 0.044 0.028 0.035 0.098 0.019 0.034 0.027 0.098 0.027 0.045 0.049 0.083 0.102 0.096 0.021 0.026 0.052   --  
 3000:    1.00    0.102    0.031 0.044 0.025 0.021 0.031 0.037 0.050 0.027 0.024 0.055 0.172 0.012 0.028 0.029    0.052 0.052 0.039 0.053 0.039 0.045 0.028 0.044 0.057 0.090 0.031 0.042 0.033 0.020 0.031 0.041 0.037 0.078 0.039 0.029 0.030 0.091 0.036 0.046 0.040 0.025 0.032 0.039 0.078 0.038 0.024 0.031 0.088 0.032 0.037 0.035 0.027 0.025 0.051 0.032 0.021 0.035 0.086 0.018 0.020 0.036 0.035 0.074 0.050 0.043 0.044 0.098 0.029 0.033 0.059 0.049 0.036 0.042 0.039 0.083 0.027 0.033 0.048 0.050 0.055 0.076 0.123 0.044 0.040 0.059 0.024 0.044 0.080 0.022 0.039 0.025 0.031 0.091 0.019 0.027 0.024 0.100 0.032 0.042 0.043 0.083 0.099 0.093 0.023 0.027 0.046   --  
 4000:    1.00    0.093    0.026 0.030 0.022 0.021 0.031 0.038 0.044 0.026 0.026 0.047 0.165 0.014 0.026 0.025    0.046 0.044 0.033 0.051 0.036 0.042 0.023 0.042 0.045 0.085 0.028 0.043 0.025 0.021 0.030 0.043 0.039 0.074 0.040 0.029 0.028 0.088 0.033 0.044 0.036 0.024 0.033 0.041 0.069 0.036 0.021 0.028 0.080 0.030 0.031 0.031 0.027 0.025 0.048 0.030 0.024 0.031 0.082 0.020 0.022 0.035 0.043 0.072 0.052 0.043 0.037 0.099 0.032 0.036 0.058 0.041 0.036 0.044 0.041 0.080 0.028 0.034 0.042 0.044 0.059 0.069 0.116 0.040 0.041 0.054 0.025 0.042 0.078 0.025 0.035 0.023 0.030 0.090 0.024 0.026 0.026 0.091 0.027 0.036 0.041 0.082 0.094 0.090 0.022 0.029 0.043   --  
