This is a job step 6


----------------------------------------------------
STRUCTURE by Pritchard, Stephens and Donnelly (2000)
     and Falush, Stephens and Pritchard (2003)
       Code by Pritchard, Falush and Hubisz
             Version 2.3.4 (Jul 2012)
----------------------------------------------------


Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/mainparamsfiles/mainparamsbigfile".
datafile is
/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str
Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/extraparams_bigfile".
Note: RANDOMIZE is set to 1. The random number generator will be initialized using the system clock, ignoring any specified value of SEED.
Reading file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str".


Data file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str" (truncated) --

Ind:   Label Pop : Genotype_data . . . .
  1: QC-ANG-01    1  :110 167 287 296 254 146 173  . . . . 291
  1: QC-ANG-01    1  :110 179 295 312 358 210 175  . . . . 315
  2: QC-ANG-11    1  :130 171 291 312 322 210 193  . . . . 283
  2: QC-ANG-11    1  :130 175 303 336 338 242 199  . . . . 303
  3: QC-ANG-12    1  :106 175 279 312 278 198 171  . . . . 315
  3: QC-ANG-12    1  :130 191 307 372 342 210 201  . . . . 319
  4: QC-ANG-13    1  :128 159 291 320 314 214 159  . . . . 287
  4: QC-ANG-13    1  :128 167 295 344 326 254 201  . . . . 315

      *******   

9141: US-NA11574  153  :122 203 283 312 254 198 173  . . . . 303
9141: US-NA11574  153  :128 203 303 340 290 206 173  . . . . 307
9142: US-NA11575  153  :122 167 283 300 254 214 173  . . . . 295
9142: US-NA11575  153  :128 167 303 336 290 298 173  . . . . 339

Number of alleles per locus: min=15; ave=39.8; max=91


--------------------------------------

Finished initialization; starting MCMC 
1000000 iterations + 100000 burnin


--------------------------------------------
Proportion of membership of each pre-defined
 population in each of the 6 clusters

Given    Inferred Clusters                            Number of
 Pop       1      2      3      4      5      6      Individuals
 85:     0.134  0.263  0.082  0.165  0.173  0.182       99
 86:     0.094  0.455  0.154  0.063  0.071  0.163      100
 87:     0.087  0.564  0.051  0.055  0.099  0.145      100
 88:     0.110  0.107  0.075  0.076  0.092  0.540      100
 89:     0.165  0.218  0.115  0.097  0.177  0.228       99
 90:     0.092  0.130  0.167  0.111  0.113  0.387       48
 91:     0.079  0.075  0.582  0.121  0.075  0.068       28
 92:     0.126  0.259  0.133  0.075  0.061  0.346       50
 93:     0.059  0.122  0.164  0.084  0.078  0.492      100
 94:     0.090  0.098  0.102  0.064  0.107  0.538       50
 95:     0.067  0.100  0.461  0.051  0.240  0.081       41
 96:     0.127  0.208  0.103  0.119  0.095  0.348       81
 97:     0.069  0.173  0.099  0.124  0.094  0.441       50
 98:     0.122  0.145  0.072  0.157  0.083  0.420      100
 99:     0.189  0.132  0.148  0.122  0.162  0.247       89
100:     0.099  0.248  0.121  0.204  0.143  0.186       98
101:     0.133  0.191  0.195  0.090  0.129  0.263      100
102:     0.027  0.880  0.019  0.036  0.024  0.015       95
103:     0.188  0.104  0.111  0.248  0.127  0.222       50
104:     0.074  0.299  0.134  0.080  0.075  0.339       70
105:     0.073  0.098  0.571  0.061  0.080  0.118      100
106:     0.097  0.179  0.079  0.118  0.112  0.414       50
107:     0.065  0.607  0.074  0.075  0.053  0.126      100
108:     0.059  0.064  0.083  0.143  0.053  0.598       50
109:     0.175  0.183  0.100  0.113  0.171  0.258      100
110:     0.082  0.081  0.589  0.075  0.100  0.073       41
111:     0.073  0.090  0.568  0.061  0.097  0.110      100
112:     0.104  0.086  0.082  0.137  0.083  0.508       50
113:     0.045  0.517  0.075  0.088  0.064  0.211       97
114:     0.124  0.132  0.484  0.097  0.084  0.079      100
115:     0.080  0.175  0.131  0.064  0.104  0.446       49
116:     0.094  0.141  0.154  0.077  0.110  0.424      100
117:     0.116  0.155  0.177  0.094  0.092  0.365       50
118:     0.114  0.101  0.103  0.080  0.088  0.513      100
119:     0.160  0.168  0.129  0.141  0.189  0.213       90
120:     0.181  0.088  0.148  0.221  0.238  0.125       70
121:     0.064  0.115  0.050  0.344  0.321  0.106       82
122:     0.066  0.122  0.083  0.134  0.546  0.049       66
123:     0.075  0.105  0.025  0.106  0.595  0.094       28
124:     0.718  0.029  0.084  0.020  0.086  0.063       44
125:     0.711  0.045  0.029  0.060  0.089  0.067       60
126:     0.729  0.035  0.046  0.056  0.072  0.061       83
127:     0.744  0.082  0.042  0.033  0.060  0.040       49
128:     0.783  0.033  0.058  0.052  0.038  0.038       84
129:     0.487  0.095  0.075  0.141  0.128  0.073       53
130:     0.608  0.119  0.036  0.084  0.103  0.051       58
131:     0.601  0.079  0.063  0.085  0.110  0.063       78
132:     0.607  0.076  0.061  0.100  0.101  0.054       59
133:     0.585  0.080  0.048  0.090  0.147  0.050       41
134:     0.456  0.152  0.053  0.133  0.085  0.121       42
135:     0.441  0.114  0.081  0.163  0.162  0.039       30
136:     0.455  0.080  0.030  0.179  0.170  0.087       53
137:     0.106  0.149  0.118  0.210  0.259  0.158       58
138:     0.150  0.152  0.074  0.238  0.265  0.121       84
139:     0.105  0.114  0.047  0.569  0.107  0.057       81
140:     0.076  0.112  0.040  0.410  0.261  0.101       30
141:     0.103  0.127  0.014  0.509  0.136  0.111       37
142:     0.074  0.064  0.053  0.475  0.236  0.097       46
143:     0.109  0.124  0.102  0.521  0.064  0.080       55
144:     0.159  0.098  0.050  0.493  0.101  0.099       52
145:     0.077  0.066  0.050  0.613  0.115  0.078       73
146:     0.196  0.136  0.062  0.369  0.175  0.063       73
147:     0.145  0.093  0.035  0.592  0.072  0.063       53
148:     0.130  0.067  0.047  0.529  0.097  0.130       52
149:     0.138  0.077  0.035  0.473  0.191  0.086       44
150:     0.185  0.104  0.088  0.451  0.090  0.082       80
151:     0.208  0.104  0.077  0.407  0.115  0.089       49
152:     0.093  0.082  0.114  0.115  0.330  0.265       34
153:     0.271  0.154  0.065  0.135  0.242  0.132      100
--------------------------------------------

 Rep#:   Lambda   Alpha      F1    F2    F3    F4    F5    F6     D1,2  D1,3  D1,4  D1,5  D1,6  D2,3  D2,4  D2,5  D2,6  D3,4  D3,5  D3,6  D4,5  D4,6  D5,6    Ln Like 
 1000:    1.00    0.195    0.019 0.019 0.030 0.013 0.010 0.010    0.034 0.051 0.024 0.019 0.036 0.037 0.022 0.018 0.016 0.048 0.030 0.029 0.014 0.023 0.020   --  
 2000:    1.00    0.148    0.017 0.015 0.026 0.013 0.011 0.009    0.025 0.043 0.019 0.020 0.029 0.031 0.018 0.016 0.013 0.043 0.031 0.026 0.011 0.021 0.019   --  
 3000:    1.00    0.126    0.016 0.013 0.029 0.013 0.011 0.008    0.026 0.040 0.018 0.017 0.028 0.028 0.019 0.014 0.013 0.042 0.027 0.025 0.011 0.020 0.016   --  
 4000:    1.00    0.120    0.014 0.014 0.021 0.013 0.012 0.008    0.023 0.039 0.018 0.017 0.028 0.029 0.018 0.016 0.012 0.040 0.026 0.022 0.011 0.021 0.017   --  
 5000:    1.00    0.110    0.014 0.013 0.024 0.013 0.012 0.008    0.022 0.037 0.018 0.017 0.026 0.028 0.017 0.014 0.012 0.039 0.026 0.022 0.010 0.019 0.016   --  
 6000:    1.00    0.105    0.017 0.013 0.026 0.014 0.012 0.008    0.025 0.040 0.017 0.018 0.027 0.027 0.016 0.014 0.010 0.039 0.026 0.023 0.010 0.018 0.015   --  
 7000:    1.00    0.096    0.015 0.014 0.024 0.011 0.010 0.009    0.024 0.038 0.014 0.016 0.026 0.027 0.015 0.015 0.011 0.036 0.026 0.020 0.008 0.018 0.015   --  
 8000:    1.00    0.097    0.017 0.013 0.021 0.012 0.013 0.009    0.023 0.038 0.017 0.018 0.026 0.027 0.015 0.014 0.011 0.037 0.025 0.021 0.010 0.018 0.015   --  
 9000:    1.00    0.094    0.016 0.014 0.022 0.012 0.011 0.009    0.023 0.035 0.016 0.017 0.026 0.025 0.016 0.013 0.011 0.036 0.023 0.021 0.010 0.019 0.015   --  

--------------------------------------------
Proportion of membership of each pre-defined
 population in each of the 6 clusters

Given    Inferred Clusters                            Number of
 Pop       1      2      3      4      5      6      Individuals

  1:     0.151  0.066  0.233  0.287  0.155  0.108       45
  2:     0.024  0.013  0.896  0.034  0.010  0.023       50
  3:     0.137  0.194  0.264  0.048  0.287  0.069       48
  4:     0.207  0.103  0.189  0.131  0.272  0.098       50
  5:     0.112  0.106  0.059  0.213  0.372  0.138       50
  6:     0.218  0.078  0.138  0.171  0.254  0.141       49
  7:     0.166  0.041  0.040  0.209  0.425  0.118       43
  8:     0.069  0.028  0.032  0.220  0.614  0.038       46
  9:     0.127  0.212  0.276  0.179  0.136  0.069       60
 10:     0.073  0.134  0.096  0.183  0.317  0.197       38
 11:     0.070  0.043  0.043  0.071  0.648  0.125       50
 12:     0.063  0.059  0.101  0.163  0.545  0.070       48
 13:     0.115  0.118  0.218  0.181  0.221  0.148       50
 14:     0.109  0.086  0.574  0.045  0.115  0.072       57
 15:     0.139  0.162  0.365  0.098  0.132  0.103       48
 16:     0.015  0.015  0.876  0.020  0.013  0.062       48
 17:     0.184  0.151  0.291  0.149  0.160  0.064       50
 18:     0.092  0.118  0.084  0.217  0.343  0.146       44
 19:     0.106  0.051  0.075  0.049  0.649  0.070       50
 20:     0.067  0.075  0.026  0.173  0.615  0.044       50
 21:     0.027  0.049  0.826  0.032  0.033  0.033       48
 22:     0.113  0.035  0.308  0.083  0.412  0.049       50
 23:     0.126  0.157  0.039  0.168  0.443  0.067       49
 24:     0.157  0.059  0.148  0.118  0.445  0.073       50
 25:     0.063  0.100  0.067  0.258  0.344  0.169       50
 26:     0.164  0.132  0.114  0.178  0.347  0.065       50
 27:     0.085  0.086  0.582  0.067  0.054  0.126       55
 28:     0.058  0.051  0.544  0.071  0.142  0.133       50
 29:     0.245  0.113  0.049  0.337  0.189  0.066      108
 30:     0.224  0.097  0.079  0.282  0.251  0.066      109
 31:     0.048  0.137  0.060  0.167  0.475  0.112       49
 32:     0.124  0.081  0.109  0.130  0.433  0.123       50
 33:     0.044  0.326  0.169  0.111  0.243  0.107       50
 34:     0.118  0.140  0.433  0.017  0.085  0.207       50
 35:     0.166  0.097  0.387  0.077  0.156  0.116       50
 36:     0.119  0.042  0.083  0.023  0.717  0.016       39
 37:     0.109  0.123  0.111  0.120  0.431  0.106       47
 38:     0.161  0.112  0.037  0.094  0.492  0.103       67
 39:     0.054  0.071  0.114  0.112  0.627  0.020       34
 40:     0.073  0.126  0.062  0.089  0.546  0.103       58
 41:     0.166  0.105  0.126  0.125  0.314  0.163       86
 42:     0.156  0.087  0.114  0.245  0.312  0.086       44
 43:     0.050  0.095  0.050  0.101  0.675  0.029       44
 44:     0.048  0.055  0.556  0.066  0.105  0.170       50
 45:     0.150  0.133  0.053  0.210  0.388  0.066       35
 46:     0.186  0.080  0.211  0.130  0.296  0.096       50
 47:     0.130  0.031  0.087  0.069  0.543  0.140       36
 48:     0.192  0.078  0.426  0.055  0.149  0.100       53
 49:     0.048  0.061  0.762  0.039  0.038  0.052       57
 50:     0.072  0.085  0.511  0.080  0.116  0.136       49
 51:     0.250  0.173  0.177  0.090  0.264  0.047       42
 52:     0.037  0.072  0.129  0.101  0.504  0.157       50
 53:     0.232  0.058  0.039  0.462  0.144  0.065       50
 54:     0.214  0.081  0.067  0.511  0.099  0.029       44
 55:     0.239  0.071  0.035  0.305  0.229  0.121       50
 56:     0.106  0.035  0.072  0.718  0.039  0.030       30
 57:     0.273  0.098  0.038  0.227  0.285  0.079       50
 58:     0.195  0.073  0.046  0.432  0.185  0.069       50
 59:     0.174  0.126  0.032  0.356  0.259  0.054       33
 60:     0.062  0.006  0.061  0.495  0.341  0.036        9
 61:     0.216  0.129  0.040  0.334  0.206  0.074       50
 62:     0.220  0.021  0.026  0.566  0.117  0.050       32
 63:     0.211  0.026  0.072  0.488  0.117  0.086       50
 64:     0.125  0.025  0.050  0.649  0.072  0.078       50
 65:     0.045  0.019  0.025  0.828  0.048  0.034       29
 66:     0.256  0.080  0.048  0.369  0.205  0.042       50
 67:     0.041  0.073  0.041  0.642  0.091  0.112       31
 68:     0.128  0.076  0.067  0.453  0.172  0.103       27
 69:     0.213  0.136  0.147  0.333  0.151  0.020       20
 70:     0.159  0.085  0.027  0.424  0.239  0.066       50
 71:     0.078  0.057  0.074  0.148  0.541  0.102       50
 72:     0.088  0.059  0.087  0.567  0.111  0.088       37
 73:     0.053  0.052  0.697  0.043  0.079  0.076       81
 74:     0.102  0.143  0.118  0.037  0.043  0.557       50
 75:     0.142  0.089  0.074  0.259  0.260  0.176       50
 76:     0.103  0.162  0.078  0.058  0.181  0.417       89
 77:     0.092  0.589  0.070  0.107  0.071  0.072      100
 78:     0.020  0.097  0.711  0.044  0.026  0.102       94
 79:     0.071  0.145  0.135  0.110  0.240  0.298      100
 80:     0.050  0.146  0.153  0.030  0.052  0.568       50
 81:     0.148  0.141  0.065  0.054  0.212  0.380      100
 82:     0.138  0.198  0.101  0.173  0.159  0.230       98
 83:     0.021  0.131  0.047  0.061  0.039  0.701       50
 84:     0.026  0.029  0.830  0.023  0.025  0.067       99
 85:     0.120  0.237  0.080  0.148  0.190  0.224       99
 86:     0.062  0.562  0.070  0.047  0.087  0.172      100
 87:     0.063  0.595  0.048  0.066  0.080  0.149      100
 88:     0.070  0.143  0.061  0.046  0.075  0.606      100
 89:     0.142  0.275  0.115  0.132  0.091  0.245       99
 90:     0.082  0.190  0.166  0.042  0.121  0.398       48
 91:     0.086  0.044  0.680  0.046  0.069  0.075       28
 92:     0.054  0.232  0.123  0.087  0.014  0.489       50
 93:     0.046  0.107  0.167  0.060  0.055  0.566      100
 94:     0.038  0.114  0.078  0.075  0.108  0.587       50
 95:     0.096  0.029  0.605  0.029  0.147  0.094       41
 96:     0.092  0.191  0.078  0.135  0.093  0.411       81
 97:     0.030  0.120  0.092  0.054  0.062  0.642       50
 98:     0.064  0.091  0.063  0.189  0.156  0.437      100
 99:     0.161  0.165  0.110  0.132  0.167  0.265       89
100:     0.076  0.261  0.092  0.284  0.156  0.131       98
101:     0.116  0.154  0.229  0.109  0.085  0.308      100
102:     0.017  0.944  0.009  0.014  0.010  0.006       95
103:     0.145  0.158  0.064  0.253  0.160  0.220       50
104:     0.070  0.394  0.099  0.041  0.071  0.326       70
105:     0.048  0.081  0.689  0.046  0.066  0.069      100
106:     0.061  0.150  0.097  0.056  0.133  0.502       50
107:     0.034  0.649  0.069  0.058  0.045  0.145      100
108:     0.023  0.028  0.029  0.077  0.052  0.791       50
109:     0.149  0.186  0.068  0.157  0.133  0.308      100
110:     0.076  0.040  0.765  0.029  0.032  0.058       41
111:     0.061  0.041  0.588  0.058  0.099  0.153      100
112:     0.055  0.064  0.095  0.108  0.069  0.607       50
113:     0.028  0.651  0.037  0.064  0.056  0.164       97
114:     0.075  0.105  0.562  0.089  0.084  0.085      100
115:     0.086  0.193  0.123  0.058  0.017  0.523       49
116:     0.083  0.207  0.104  0.083  0.099  0.425      100
117:     0.101  0.112  0.176  0.097  0.142  0.371       50
118:     0.061  0.091  0.080  0.053  0.092  0.624      100
119:     0.132  0.151  0.103  0.177  0.148  0.289       90
120:     0.178  0.104  0.088  0.230  0.237  0.164       70
121:     0.053  0.100  0.048  0.300  0.420  0.078       82
122:     0.087  0.176  0.065  0.465  0.143  0.064       66
123:     0.078  0.053  0.055  0.030  0.678  0.106       28
124:     0.810  0.012  0.041  0.026  0.041  0.071       44
125:     0.846  0.030  0.041  0.011  0.029  0.043       60
126:     0.814  0.045  0.036  0.042  0.020  0.044       83
127:     0.850  0.044  0.041  0.027  0.025  0.013       49
128:     0.839  0.048  0.043  0.027  0.027  0.016       84
129:     0.626  0.078  0.036  0.106  0.081  0.074       53
130:     0.717  0.067  0.019  0.049  0.124  0.024       58
131:     0.740  0.053  0.025  0.110  0.058  0.016       78
132:     0.714  0.056  0.020  0.059  0.121  0.030       59
133:     0.694  0.025  0.083  0.073  0.091  0.034       41
134:     0.473  0.173  0.042  0.174  0.070  0.069       42
135:     0.362  0.089  0.063  0.333  0.096  0.058       30
136:     0.588  0.108  0.033  0.183  0.057  0.032       53
137:     0.074  0.199  0.081  0.080  0.357  0.208       58
138:     0.151  0.125  0.068  0.252  0.315  0.089       84
139:     0.119  0.075  0.039  0.676  0.080  0.012       81
140:     0.051  0.045  0.014  0.009  0.858  0.024       30
141:     0.039  0.068  0.025  0.410  0.318  0.139       37
142:     0.047  0.041  0.034  0.594  0.195  0.089       46
143:     0.034  0.136  0.041  0.645  0.079  0.064       55
144:     0.122  0.057  0.021  0.624  0.110  0.067       52
145:     0.054  0.058  0.019  0.716  0.091  0.063       73
146:     0.127  0.094  0.042  0.534  0.138  0.065       73
147:     0.131  0.049  0.024  0.515  0.218  0.064       53
148:     0.120  0.024  0.045  0.595  0.147  0.069       52
149:     0.062  0.023  0.015  0.557  0.242  0.101       44
150:     0.108  0.088  0.051  0.534  0.166  0.053       80
151:     0.158  0.068  0.047  0.541  0.119  0.067       49
152:     0.147  0.139  0.072  0.009  0.431  0.201       34
153:     0.241  0.178  0.049  0.245  0.145  0.142      100
--------------------------------------------

 Rep#:   Lambda   Alpha      F1    F2    F3    F4    F5    F6     D1,2  D1,3  D1,4  D1,5  D1,6  D2,3  D2,4  D2,5  D2,6  D3,4  D3,5  D3,6  D4,5  D4,6  D5,6    Ln Like 
10000:    1.00    0.093    0.014 0.013 0.022 0.012 0.011 0.009    0.023 0.035 0.016 0.017 0.025 0.027 0.017 0.015 0.011 0.037 0.025 0.021 0.010 0.018 0.015   --  
11000:    1.00    0.097    0.016 0.013 0.020 0.014 0.013 0.009    0.024 0.036 0.019 0.018 0.027 0.028 0.017 0.015 0.012 0.037 0.025 0.020 0.010 0.019 0.016   --  
12000:    1.00    0.096    0.014 0.013 0.020 0.016 0.014 0.009    0.024 0.037 0.017 0.018 0.028 0.026 0.015 0.014 0.012 0.036 0.024 0.022 0.010 0.019 0.016   --  
13000:    1.00    0.101    0.013 0.013 0.022 0.014 0.011 0.009    0.022 0.037 0.017 0.018 0.024 0.028 0.016 0.013 0.010 0.038 0.025 0.022 0.010 0.019 0.014   --  
14000:    1.00    0.104    0.013 0.015 0.022 0.014 0.015 0.010    0.024 0.036 0.016 0.017 0.027 0.028 0.016 0.015 0.011 0.036 0.024 0.021 0.010 0.018 0.015   --  
15000:    1.00    0.101    0.015 0.015 0.023 0.014 0.011 0.010    0.023 0.037 0.017 0.017 0.026 0.028 0.017 0.015 0.011 0.039 0.025 0.022 0.010 0.018 0.015   --  
16000:    1.00    0.101    0.015 0.015 0.022 0.013 0.014 0.009    0.025 0.036 0.016 0.017 0.026 0.028 0.016 0.014 0.012 0.038 0.027 0.023 0.010 0.019 0.016   --  
17000:    1.00    0.097    0.014 0.015 0.024 0.013 0.014 0.010    0.022 0.036 0.016 0.016 0.026 0.027 0.015 0.014 0.011 0.037 0.026 0.022 0.010 0.018 0.015   --  
18000:    1.00    0.096    0.015 0.014 0.023 0.011 0.011 0.011    0.024 0.035 0.019 0.018 0.025 0.027 0.016 0.015 0.012 0.035 0.024 0.021 0.011 0.019 0.015   --  
19000:    1.00    0.093    0.015 0.013 0.024 0.013 0.011 0.009    0.023 0.036 0.016 0.016 0.024 0.025 0.016 0.014 0.010 0.036 0.025 0.021 0.010 0.017 0.015   --  

--------------------------------------------
Proportion of membership of each pre-defined
 population in each of the 6 clusters

Given    Inferred Clusters                            Number of
 Pop       1      2      3      4      5      6      Individuals

  1:     0.125  0.076  0.189  0.287  0.191  0.133       45
  2:     0.026  0.014  0.903  0.012  0.023  0.022       50
  3:     0.181  0.173  0.337  0.112  0.142  0.056       48
  4:     0.216  0.094  0.167  0.174  0.240  0.109       50
  5:     0.103  0.108  0.058  0.185  0.421  0.126       50
  6:     0.154  0.105  0.083  0.119  0.355  0.185       49
  7:     0.140  0.027  0.091  0.236  0.381  0.126       43
  8:     0.030  0.082  0.064  0.198  0.591  0.035       46
  9:     0.114  0.265  0.179  0.125  0.189  0.128       60
 10:     0.105  0.068  0.093  0.175  0.384  0.176       38
 11:     0.082  0.038  0.061  0.084  0.686  0.049       50
 12:     0.056  0.029  0.071  0.142  0.666  0.036       48
 13:     0.176  0.132  0.201  0.108  0.240  0.143       50
 14:     0.102  0.102  0.577  0.033  0.126  0.060       57
 15:     0.121  0.224  0.358  0.096  0.143  0.058       48
 16:     0.022  0.016  0.863  0.018  0.027  0.054       48
 17:     0.173  0.093  0.290  0.209  0.121  0.114       50
 18:     0.168  0.093  0.027  0.183  0.385  0.144       44
 19:     0.092  0.063  0.053  0.074  0.627  0.091       50
 20:     0.028  0.039  0.026  0.179  0.667  0.060       50
 21:     0.029  0.022  0.863  0.021  0.025  0.041       48
 22:     0.120  0.030  0.220  0.106  0.370  0.154       50
