This is a job step 6


----------------------------------------------------
STRUCTURE by Pritchard, Stephens and Donnelly (2000)
     and Falush, Stephens and Pritchard (2003)
       Code by Pritchard, Falush and Hubisz
             Version 2.3.4 (Jul 2012)
----------------------------------------------------


Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/mainparamsfiles/mainparamsbigfile".
datafile is
/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str
Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/extraparams_bigfile".
Note: RANDOMIZE is set to 1. The random number generator will be initialized using the system clock, ignoring any specified value of SEED.
Reading file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str".


Data file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str" (truncated) --

Ind:   Label Pop : Genotype_data . . . .
  1: QC-ANG-01    1  :110 167 287 296 254 146 173  . . . . 291
  1: QC-ANG-01    1  :110 179 295 312 358 210 175  . . . . 315
  2: QC-ANG-11    1  :130 171 291 312 322 210 193  . . . . 283
  2: QC-ANG-11    1  :130 175 303 336 338 242 199  . . . . 303
  3: QC-ANG-12    1  :106 175 279 312 278 198 171  . . . . 315
  3: QC-ANG-12    1  :130 191 307 372 342 210 201  . . . . 319
  4: QC-ANG-13    1  :128 159 291 320 314 214 159  . . . . 287
  4: QC-ANG-13    1  :128 167 295 344 326 254 201  . . . . 315

      *******   

9141: US-NA11574  153  :122 203 283 312 254 198 173  . . . . 303
9141: US-NA11574  153  :128 203 303 340 290 206 173  . . . . 307
9142: US-NA11575  153  :122 167 283 300 254 214 173  . . . . 295
9142: US-NA11575  153  :128 167 303 336 290 298 173  . . . . 339

Number of alleles per locus: min=15; ave=39.8; max=91


--------------------------------------

Finished initialization; starting MCMC 
1000000 iterations + 100000 burnin


--------------------------------------------
Proportion of membership of each pre-defined
 population in each of the 6 clusters

Given    Inferred Clusters                            Number of
 Pop       1      2      3      4      5      6      Individuals
 99:     0.106  0.217  0.138  0.122  0.114  0.302       89
100:     0.209  0.069  0.136  0.098  0.315  0.175       98
101:     0.157  0.123  0.118  0.192  0.084  0.325      100
102:     0.860  0.023  0.024  0.017  0.056  0.019       95
103:     0.195  0.089  0.192  0.053  0.228  0.243       50
104:     0.301  0.082  0.080  0.089  0.081  0.367       70
105:     0.114  0.063  0.071  0.569  0.072  0.112      100
106:     0.160  0.088  0.122  0.112  0.084  0.434       50
107:     0.582  0.077  0.081  0.078  0.087  0.095      100
108:     0.049  0.070  0.079  0.070  0.091  0.641       50
109:     0.203  0.110  0.177  0.107  0.154  0.249      100
110:     0.095  0.075  0.120  0.578  0.040  0.091       41
111:     0.104  0.131  0.074  0.506  0.063  0.121      100
112:     0.122  0.062  0.082  0.116  0.082  0.535       50
113:     0.541  0.036  0.086  0.067  0.103  0.166       97
114:     0.151  0.098  0.074  0.489  0.084  0.104      100
115:     0.229  0.077  0.073  0.174  0.097  0.350       49
116:     0.149  0.067  0.140  0.146  0.066  0.431      100
117:     0.085  0.107  0.151  0.212  0.084  0.361       50
118:     0.077  0.089  0.112  0.087  0.082  0.553      100
119:     0.211  0.136  0.102  0.133  0.123  0.295       90
120:     0.136  0.223  0.237  0.137  0.132  0.136       70
121:     0.139  0.066  0.225  0.086  0.360  0.123       82
122:     0.212  0.073  0.449  0.092  0.127  0.046       66
123:     0.073  0.124  0.472  0.065  0.090  0.175       28
124:     0.033  0.753  0.042  0.083  0.042  0.047       44
125:     0.044  0.708  0.047  0.057  0.065  0.079       60
126:     0.067  0.699  0.048  0.037  0.084  0.065       83
127:     0.067  0.748  0.034  0.047  0.050  0.053       49
128:     0.047  0.781  0.049  0.037  0.044  0.041       84
129:     0.078  0.562  0.068  0.077  0.137  0.079       53
130:     0.103  0.589  0.100  0.035  0.137  0.037       58
131:     0.090  0.542  0.081  0.060  0.169  0.059       78
132:     0.102  0.569  0.123  0.051  0.080  0.074       59
133:     0.098  0.564  0.104  0.055  0.120  0.059       41
134:     0.213  0.486  0.069  0.043  0.098  0.090       42
135:     0.079  0.450  0.091  0.076  0.238  0.065       30
136:     0.070  0.449  0.183  0.043  0.195  0.059       53
137:     0.111  0.114  0.339  0.107  0.120  0.209       58
138:     0.098  0.159  0.292  0.104  0.224  0.122       84
139:     0.069  0.100  0.137  0.049  0.585  0.060       81
140:     0.038  0.066  0.242  0.058  0.485  0.110       30
141:     0.079  0.089  0.235  0.045  0.430  0.122       37
142:     0.091  0.111  0.241  0.044  0.435  0.078       46
143:     0.180  0.080  0.152  0.034  0.516  0.038       55
144:     0.097  0.106  0.066  0.039  0.628  0.064       52
145:     0.085  0.073  0.114  0.051  0.616  0.061       73
146:     0.138  0.101  0.215  0.054  0.433  0.058       73
147:     0.079  0.103  0.109  0.027  0.602  0.082       53
148:     0.088  0.136  0.135  0.044  0.529  0.069       52
149:     0.118  0.078  0.169  0.034  0.483  0.119       44
150:     0.113  0.124  0.143  0.059  0.504  0.058       80
151:     0.103  0.145  0.128  0.059  0.493  0.072       49
152:     0.097  0.181  0.319  0.113  0.093  0.197       34
153:     0.141  0.195  0.217  0.066  0.173  0.207      100
--------------------------------------------

 Rep#:   Lambda   Alpha      F1    F2    F3    F4    F5    F6     D1,2  D1,3  D1,4  D1,5  D1,6  D2,3  D2,4  D2,5  D2,6  D3,4  D3,5  D3,6  D4,5  D4,6  D5,6    Ln Like 
 1000:    1.00    0.187    0.019 0.018 0.009 0.027 0.015 0.010    0.030 0.019 0.035 0.023 0.014 0.018 0.046 0.022 0.029 0.028 0.013 0.017 0.048 0.028 0.022   --  
 2000:    1.00    0.152    0.014 0.015 0.013 0.025 0.014 0.011    0.026 0.017 0.032 0.019 0.013 0.020 0.043 0.018 0.030 0.030 0.011 0.018 0.044 0.026 0.022   --  
 3000:    1.00    0.132    0.015 0.018 0.010 0.024 0.011 0.010    0.027 0.017 0.029 0.017 0.013 0.019 0.041 0.018 0.029 0.027 0.011 0.017 0.041 0.022 0.020   --  
 4000:    1.00    0.119    0.012 0.015 0.011 0.024 0.013 0.009    0.024 0.015 0.029 0.016 0.012 0.019 0.038 0.017 0.027 0.027 0.011 0.017 0.038 0.023 0.019   --  
 5000:    1.00    0.117    0.015 0.017 0.010 0.019 0.013 0.010    0.024 0.015 0.029 0.018 0.011 0.017 0.038 0.017 0.027 0.026 0.010 0.015 0.040 0.023 0.021   --  
 6000:    1.00    0.103    0.013 0.015 0.012 0.023 0.014 0.009    0.022 0.014 0.027 0.016 0.012 0.016 0.034 0.015 0.025 0.024 0.010 0.015 0.037 0.022 0.020   --  
 7000:    1.00    0.102    0.013 0.016 0.013 0.021 0.011 0.009    0.024 0.014 0.028 0.018 0.011 0.017 0.038 0.017 0.029 0.026 0.010 0.016 0.039 0.023 0.021   --  
 8000:    1.00    0.093    0.013 0.017 0.013 0.019 0.011 0.010    0.023 0.013 0.025 0.015 0.011 0.015 0.035 0.016 0.026 0.023 0.009 0.016 0.035 0.020 0.018   --  
 9000:    1.00    0.093    0.013 0.014 0.013 0.020 0.012 0.008    0.024 0.014 0.025 0.016 0.010 0.017 0.037 0.017 0.025 0.023 0.009 0.014 0.035 0.020 0.017   --  

--------------------------------------------
Proportion of membership of each pre-defined
 population in each of the 6 clusters

Given    Inferred Clusters                            Number of
 Pop       1      2      3      4      5      6      Individuals

  1:     0.058  0.138  0.215  0.227  0.286  0.076       45
  2:     0.019  0.013  0.042  0.886  0.007  0.033       50
  3:     0.224  0.115  0.180  0.327  0.060  0.093       48
  4:     0.078  0.209  0.248  0.180  0.168  0.118       50
  5:     0.087  0.056  0.513  0.079  0.186  0.078       50
  6:     0.104  0.159  0.356  0.124  0.146  0.111       49
  7:     0.065  0.098  0.416  0.064  0.181  0.176       43
  8:     0.036  0.080  0.608  0.050  0.190  0.035       46
  9:     0.277  0.174  0.225  0.199  0.065  0.060       60
 10:     0.118  0.083  0.326  0.086  0.224  0.164       38
 11:     0.046  0.087  0.570  0.043  0.176  0.079       50
 12:     0.090  0.070  0.543  0.066  0.171  0.059       48
 13:     0.123  0.149  0.340  0.152  0.146  0.089       50
 14:     0.080  0.044  0.071  0.717  0.039  0.050       57
 15:     0.138  0.170  0.109  0.426  0.083  0.075       48
 16:     0.040  0.035  0.024  0.861  0.014  0.026       48
 17:     0.069  0.174  0.248  0.310  0.124  0.076       50
 18:     0.197  0.092  0.413  0.046  0.195  0.057       44
 19:     0.054  0.144  0.593  0.058  0.097  0.054       50
 20:     0.060  0.070  0.659  0.048  0.138  0.025       50
 21:     0.036  0.034  0.028  0.848  0.021  0.033       48
 22:     0.053  0.138  0.422  0.261  0.047  0.079       50
 23:     0.157  0.092  0.492  0.073  0.103  0.082       49
 24:     0.047  0.076  0.497  0.250  0.094  0.036       50
 25:     0.072  0.077  0.290  0.074  0.262  0.225       50
 26:     0.112  0.094  0.309  0.096  0.188  0.201       50
 27:     0.107  0.167  0.033  0.539  0.076  0.079       55
 28:     0.131  0.066  0.094  0.570  0.030  0.110       50
 29:     0.086  0.189  0.234  0.051  0.392  0.049      108
 30:     0.111  0.175  0.233  0.089  0.308  0.084      109
 31:     0.086  0.086  0.590  0.015  0.106  0.117       49
 32:     0.098  0.086  0.415  0.142  0.167  0.092       50
 33:     0.361  0.056  0.220  0.161  0.085  0.118       50
 34:     0.124  0.079  0.057  0.433  0.034  0.273       50
 35:     0.061  0.204  0.238  0.312  0.067  0.119       50
 36:     0.107  0.086  0.635  0.083  0.054  0.035       39
 37:     0.114  0.098  0.410  0.109  0.106  0.163       47
 38:     0.083  0.161  0.540  0.038  0.058  0.120       67
 39:     0.063  0.087  0.468  0.129  0.134  0.118       34
 40:     0.157  0.085  0.529  0.069  0.101  0.058       58
 41:     0.107  0.169  0.393  0.136  0.104  0.092       86
 42:     0.086  0.154  0.410  0.062  0.204  0.084       44
 43:     0.064  0.041  0.662  0.044  0.132  0.057       44
 44:     0.083  0.093  0.094  0.518  0.051  0.161       50
 45:     0.118  0.164  0.355  0.047  0.262  0.054       35
 46:     0.071  0.208  0.265  0.202  0.129  0.125       50
 47:     0.153  0.099  0.437  0.142  0.076  0.094       36
 48:     0.094  0.090  0.202  0.462  0.083  0.068       53
 49:     0.018  0.051  0.025  0.800  0.034  0.072       57
 50:     0.078  0.074  0.108  0.541  0.069  0.129       49
 51:     0.129  0.195  0.303  0.262  0.078  0.034       42
 52:     0.088  0.068  0.492  0.093  0.164  0.095       50
 53:     0.081  0.126  0.200  0.026  0.509  0.059       50
 54:     0.057  0.295  0.110  0.063  0.438  0.036       44
 55:     0.049  0.263  0.167  0.068  0.366  0.086       50
 56:     0.039  0.072  0.023  0.019  0.823  0.023       30
 57:     0.151  0.206  0.315  0.037  0.223  0.069       50
 58:     0.106  0.167  0.192  0.050  0.423  0.061       50
 59:     0.056  0.190  0.283  0.062  0.358  0.051       33
 60:     0.069  0.088  0.271  0.010  0.506  0.056        9
 61:     0.096  0.211  0.205  0.028  0.414  0.045       50
 62:     0.050  0.315  0.186  0.036  0.382  0.031       32
 63:     0.045  0.233  0.081  0.041  0.460  0.138       50
 64:     0.053  0.110  0.127  0.026  0.607  0.077       50
 65:     0.041  0.077  0.047  0.060  0.751  0.024       29
 66:     0.070  0.161  0.241  0.034  0.447  0.048       50
 67:     0.096  0.088  0.213  0.056  0.475  0.073       31
 68:     0.024  0.281  0.121  0.040  0.481  0.053       27
 69:     0.126  0.168  0.335  0.033  0.289  0.049       20
 70:     0.059  0.144  0.281  0.067  0.419  0.030       50
 71:     0.057  0.172  0.472  0.100  0.125  0.074       50
 72:     0.063  0.092  0.191  0.009  0.506  0.139       37
 73:     0.079  0.073  0.068  0.633  0.069  0.078       81
 74:     0.182  0.060  0.044  0.069  0.053  0.592       50
 75:     0.116  0.222  0.195  0.073  0.177  0.217       50
 76:     0.165  0.049  0.144  0.120  0.073  0.449       89
 77:     0.501  0.103  0.084  0.070  0.096  0.146      100
 78:     0.058  0.044  0.022  0.719  0.041  0.116       94
 79:     0.125  0.060  0.345  0.137  0.058  0.273      100
 80:     0.081  0.058  0.037  0.164  0.071  0.589       50
 81:     0.116  0.149  0.151  0.068  0.072  0.445      100
 82:     0.248  0.122  0.212  0.084  0.167  0.167       98
 83:     0.096  0.018  0.054  0.040  0.051  0.741       50
 84:     0.053  0.020  0.043  0.790  0.012  0.082       99
 85:     0.262  0.129  0.176  0.072  0.166  0.196       99
 86:     0.599  0.051  0.073  0.124  0.032  0.122      100
 87:     0.691  0.033  0.094  0.042  0.035  0.105      100
 88:     0.110  0.067  0.079  0.098  0.038  0.607      100
 89:     0.269  0.128  0.117  0.107  0.114  0.265       99
 90:     0.107  0.119  0.132  0.177  0.080  0.384       48
 91:     0.061  0.057  0.122  0.659  0.045  0.057       28
 92:     0.255  0.111  0.044  0.087  0.066  0.437       50
 93:     0.089  0.041  0.055  0.155  0.057  0.603      100
 94:     0.111  0.039  0.085  0.056  0.080  0.629       50
 95:     0.069  0.041  0.108  0.641  0.093  0.048       41
 96:     0.191  0.085  0.114  0.108  0.121  0.381       81
 97:     0.163  0.081  0.072  0.073  0.030  0.581       50
 98:     0.125  0.079  0.142  0.077  0.166  0.412      100
 99:     0.126  0.156  0.139  0.124  0.090  0.365       89
100:     0.262  0.062  0.145  0.066  0.284  0.182       98
101:     0.164  0.097  0.094  0.230  0.092  0.323      100
102:     0.943  0.005  0.011  0.016  0.017  0.008       95
103:     0.139  0.119  0.220  0.104  0.156  0.261       50
104:     0.310  0.082  0.064  0.070  0.051  0.424       70
105:     0.101  0.040  0.082  0.634  0.033  0.108      100
106:     0.145  0.058  0.112  0.109  0.039  0.537       50
107:     0.659  0.049  0.071  0.080  0.036  0.105      100
108:     0.049  0.034  0.087  0.039  0.141  0.649       50
109:     0.218  0.169  0.162  0.109  0.106  0.236      100
110:     0.051  0.023  0.049  0.731  0.059  0.087       41
111:     0.120  0.060  0.048  0.612  0.045  0.116      100
112:     0.143  0.018  0.139  0.074  0.088  0.539       50
113:     0.569  0.025  0.092  0.041  0.066  0.207       97
114:     0.121  0.078  0.065  0.533  0.125  0.077      100
115:     0.235  0.065  0.054  0.127  0.095  0.423       49
116:     0.158  0.082  0.082  0.122  0.082  0.474      100
117:     0.203  0.085  0.070  0.206  0.089  0.347       50
118:     0.104  0.054  0.068  0.091  0.069  0.613      100
119:     0.156  0.135  0.134  0.095  0.142  0.338       90
120:     0.127  0.171  0.238  0.140  0.206  0.117       70
121:     0.095  0.050  0.383  0.028  0.332  0.111       82
122:     0.187  0.083  0.203  0.085  0.424  0.019       66
123:     0.087  0.039  0.557  0.023  0.064  0.230       28
124:     0.017  0.810  0.036  0.035  0.050  0.052       44
125:     0.029  0.809  0.047  0.039  0.010  0.067       60
126:     0.027  0.760  0.051  0.018  0.097  0.046       83
127:     0.051  0.784  0.035  0.038  0.068  0.023       49
128:     0.035  0.851  0.047  0.010  0.026  0.031       84
129:     0.052  0.589  0.082  0.051  0.169  0.057       53
130:     0.090  0.682  0.076  0.023  0.088  0.041       58
131:     0.040  0.694  0.093  0.029  0.124  0.019       78
132:     0.067  0.688  0.050  0.033  0.124  0.039       59
133:     0.036  0.645  0.089  0.029  0.165  0.036       41
134:     0.119  0.560  0.089  0.027  0.107  0.099       42
135:     0.082  0.484  0.089  0.046  0.226  0.073       30
136:     0.040  0.518  0.103  0.030  0.239  0.070       53
137:     0.100  0.083  0.451  0.076  0.120  0.169       58
138:     0.129  0.149  0.270  0.050  0.269  0.132       84
139:     0.044  0.080  0.120  0.048  0.656  0.052       81
140:     0.050  0.063  0.826  0.023  0.030  0.008       30
141:     0.086  0.026  0.401  0.011  0.373  0.103       37
142:     0.042  0.093  0.136  0.070  0.589  0.070       46
143:     0.119  0.058  0.086  0.097  0.585  0.055       55
144:     0.030  0.144  0.076  0.027  0.674  0.049       52
145:     0.052  0.084  0.096  0.042  0.647  0.079       73
146:     0.139  0.135  0.153  0.035  0.451  0.088       73
147:     0.068  0.070  0.121  0.039  0.628  0.073       53
148:     0.036  0.150  0.104  0.022  0.633  0.054       52
149:     0.075  0.105  0.187  0.013  0.543  0.077       44
150:     0.140  0.109  0.135  0.049  0.525  0.043       80
151:     0.083  0.065  0.159  0.040  0.551  0.101       49
152:     0.085  0.146  0.431  0.106  0.079  0.153       34
153:     0.130  0.278  0.146  0.085  0.162  0.199      100
--------------------------------------------

 Rep#:   Lambda   Alpha      F1    F2    F3    F4    F5    F6     D1,2  D1,3  D1,4  D1,5  D1,6  D2,3  D2,4  D2,5  D2,6  D3,4  D3,5  D3,6  D4,5  D4,6  D5,6    Ln Like 
10000:    1.00    0.087    0.012 0.014 0.012 0.018 0.014 0.007    0.023 0.014 0.025 0.016 0.011 0.015 0.034 0.015 0.024 0.023 0.010 0.014 0.036 0.020 0.017   --  
11000:    1.00    0.094    0.012 0.015 0.010 0.021 0.013 0.009    0.022 0.013 0.027 0.014 0.010 0.018 0.037 0.015 0.026 0.027 0.009 0.015 0.037 0.022 0.018   --  
12000:    1.00    0.097    0.012 0.017 0.012 0.019 0.013 0.009    0.023 0.014 0.025 0.016 0.011 0.016 0.035 0.016 0.028 0.023 0.010 0.016 0.035 0.020 0.019   --  
13000:    1.00    0.097    0.011 0.015 0.014 0.020 0.012 0.008    0.024 0.013 0.027 0.016 0.010 0.019 0.040 0.017 0.027 0.024 0.009 0.013 0.038 0.022 0.017   --  
14000:    1.00    0.097    0.014 0.016 0.012 0.023 0.013 0.007    0.023 0.015 0.027 0.016 0.010 0.017 0.036 0.016 0.025 0.025 0.010 0.015 0.037 0.022 0.018   --  
15000:    1.00    0.100    0.012 0.016 0.015 0.023 0.014 0.008    0.025 0.014 0.025 0.016 0.011 0.019 0.038 0.017 0.028 0.024 0.009 0.015 0.033 0.020 0.017   --  
16000:    1.00    0.102    0.013 0.015 0.013 0.022 0.015 0.010    0.022 0.014 0.028 0.016 0.012 0.016 0.036 0.016 0.025 0.025 0.011 0.016 0.038 0.022 0.018   --  
17000:    1.00    0.100    0.010 0.018 0.013 0.020 0.014 0.009    0.023 0.014 0.026 0.015 0.012 0.017 0.037 0.017 0.029 0.025 0.010 0.016 0.036 0.021 0.019   --  
18000:    1.00    0.099    0.012 0.021 0.013 0.020 0.015 0.009    0.025 0.014 0.025 0.017 0.010 0.018 0.038 0.018 0.028 0.023 0.011 0.016 0.037 0.022 0.020   --  
19000:    1.00    0.095    0.013 0.017 0.014 0.022 0.013 0.009    0.022 0.015 0.028 0.016 0.011 0.017 0.036 0.016 0.025 0.024 0.009 0.015 0.036 0.023 0.018   --  

--------------------------------------------
Proportion of membership of each pre-defined
 population in each of the 6 clusters

Given    Inferred Clusters                            Number of
 Pop       1      2      3      4      5      6      Individuals

  1:     0.044  0.106  0.193  0.215  0.333  0.109       45
  2:     0.010  0.008  0.016  0.933  0.010  0.024       50
  3:     0.246  0.113  0.161  0.319  0.096  0.065       48
  4:     0.085  0.195  0.245  0.182  0.204  0.088       50
  5:     0.151  0.104  0.473  0.033  0.163  0.076       50
  6:     0.069  0.212  0.375  0.102  0.117  0.125       49
  7:     0.059  0.114  0.430  0.076  0.194  0.128       43
  8:     0.081  0.085  0.585  0.029  0.172  0.048       46
  9:     0.252  0.131  0.103  0.254  0.160  0.099       60
 10:     0.042  0.121  0.333  0.082  0.237  0.185       38
 11:     0.071  0.071  0.656  0.066  0.075  0.061       50
 12:     0.040  0.068  0.560  0.092  0.171  0.069       48
 13:     0.121  0.213  0.184  0.220  0.139  0.123       50
 14:     0.073  0.066  0.135  0.638  0.031  0.056       57
 15:     0.170  0.152  0.109  0.345  0.129  0.094       48
 16:     0.020  0.038  0.029  0.879  0.020  0.014       48
 17:     0.114  0.183  0.146  0.287  0.186  0.084       50
 18:     0.102  0.128  0.449  0.119  0.168  0.035       44
 19:     0.089  0.130  0.524  0.066  0.118  0.072       50
 20:     0.071  0.053  0.626  0.046  0.175  0.030       50
 21:     0.019  0.032  0.035  0.877  0.013  0.024       48
 22:     0.049  0.144  0.310  0.194  0.151  0.153       50
