This is a job step 7


----------------------------------------------------
STRUCTURE by Pritchard, Stephens and Donnelly (2000)
     and Falush, Stephens and Pritchard (2003)
       Code by Pritchard, Falush and Hubisz
             Version 2.3.4 (Jul 2012)
----------------------------------------------------


Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/mainparamsfiles/mainparamsbigfile".
datafile is
/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str
Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/extraparams_bigfile".
Note: RANDOMIZE is set to 1. The random number generator will be initialized using the system clock, ignoring any specified value of SEED.
Reading file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str".


Data file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str" (truncated) --

Ind:   Label Pop : Genotype_data . . . .
  1: QC-ANG-01    1  :110 167 287 296 254 146 173  . . . . 291
  1: QC-ANG-01    1  :110 179 295 312 358 210 175  . . . . 315
  2: QC-ANG-11    1  :130 171 291 312 322 210 193  . . . . 283
  2: QC-ANG-11    1  :130 175 303 336 338 242 199  . . . . 303
  3: QC-ANG-12    1  :106 175 279 312 278 198 171  . . . . 315
  3: QC-ANG-12    1  :130 191 307 372 342 210 201  . . . . 319
  4: QC-ANG-13    1  :128 159 291 320 314 214 159  . . . . 287
  4: QC-ANG-13    1  :128 167 295 344 326 254 201  . . . . 315

      *******   

9141: US-NA11574  153  :122 203 283 312 254 198 173  . . . . 303
9141: US-NA11574  153  :128 203 303 340 290 206 173  . . . . 307
9142: US-NA11575  153  :122 167 283 300 254 214 173  . . . . 295
9142: US-NA11575  153  :128 167 303 336 290 298 173  . . . . 339

Number of alleles per locus: min=15; ave=39.8; max=91


--------------------------------------

Finished initialization; starting MCMC 
1000000 iterations + 100000 burnin


--------------------------------------------
Proportion of membership of each pre-defined
 population in each of the 7 clusters

Given    Inferred Clusters                                   Number of
 Pop       1      2      3      4      5      6      7      Individuals
 29:     0.092  0.110  0.187  0.240  0.104  0.205  0.063      108
 30:     0.073  0.189  0.125  0.262  0.111  0.168  0.072      109
 31:     0.077  0.237  0.077  0.128  0.048  0.379  0.053       49
 32:     0.045  0.158  0.138  0.087  0.077  0.407  0.089       50
 33:     0.083  0.118  0.035  0.082  0.465  0.099  0.117       50
 34:     0.088  0.200  0.118  0.037  0.113  0.069  0.376       50
 35:     0.097  0.152  0.140  0.049  0.147  0.167  0.249       50
 36:     0.055  0.068  0.083  0.108  0.073  0.534  0.077       39
 37:     0.139  0.211  0.091  0.110  0.113  0.242  0.094       47
 38:     0.069  0.258  0.117  0.115  0.088  0.282  0.072       67
 39:     0.031  0.081  0.062  0.113  0.117  0.515  0.081       34
 40:     0.140  0.194  0.065  0.089  0.068  0.380  0.064       58
 41:     0.092  0.163  0.094  0.083  0.110  0.324  0.134       86
 42:     0.101  0.147  0.111  0.205  0.074  0.261  0.101       44
 43:     0.060  0.048  0.090  0.244  0.085  0.430  0.042       44
 44:     0.116  0.088  0.052  0.103  0.088  0.107  0.446       50
 45:     0.079  0.141  0.160  0.164  0.134  0.226  0.096       35
 46:     0.079  0.173  0.140  0.121  0.092  0.231  0.163       50
 47:     0.055  0.099  0.053  0.067  0.155  0.433  0.137       36
 48:     0.079  0.168  0.075  0.063  0.071  0.238  0.305       53
 49:     0.068  0.070  0.077  0.049  0.044  0.059  0.634       57
 50:     0.094  0.174  0.101  0.081  0.047  0.072  0.431       49
 51:     0.070  0.166  0.184  0.048  0.163  0.248  0.122       42
 52:     0.107  0.159  0.085  0.134  0.084  0.317  0.114       50
 53:     0.042  0.071  0.126  0.502  0.040  0.157  0.062       50
 54:     0.092  0.109  0.196  0.331  0.136  0.084  0.051       44
 55:     0.058  0.155  0.230  0.254  0.076  0.155  0.071       50
 56:     0.026  0.038  0.092  0.729  0.036  0.046  0.033       30
 57:     0.067  0.172  0.116  0.239  0.109  0.235  0.062       50
 58:     0.074  0.194  0.143  0.247  0.083  0.196  0.063       50
 59:     0.047  0.112  0.210  0.289  0.162  0.099  0.081       33
 60:     0.044  0.159  0.184  0.224  0.107  0.176  0.106        9
 61:     0.085  0.111  0.208  0.143  0.155  0.238  0.061       50
 62:     0.031  0.095  0.213  0.379  0.058  0.154  0.070       32
 63:     0.051  0.199  0.199  0.244  0.084  0.146  0.076       50
 64:     0.052  0.099  0.098  0.586  0.071  0.047  0.046       50
 65:     0.024  0.015  0.121  0.612  0.059  0.081  0.088       29
 66:     0.050  0.155  0.186  0.217  0.094  0.235  0.062       50
 67:     0.051  0.118  0.085  0.409  0.109  0.156  0.073       31
 68:     0.080  0.143  0.148  0.314  0.095  0.166  0.054       27
 69:     0.023  0.179  0.185  0.158  0.142  0.283  0.030       20
 70:     0.074  0.161  0.169  0.309  0.105  0.131  0.051       50
 71:     0.086  0.120  0.095  0.143  0.077  0.391  0.089       50
 72:     0.068  0.290  0.138  0.275  0.094  0.096  0.039       37
 73:     0.098  0.089  0.109  0.047  0.058  0.117  0.482       81
 74:     0.540  0.082  0.098  0.062  0.063  0.073  0.082       50
 75:     0.132  0.191  0.091  0.220  0.108  0.189  0.069       50
 76:     0.274  0.233  0.070  0.067  0.130  0.153  0.073       89
 77:     0.230  0.318  0.113  0.100  0.132  0.049  0.057      100
 78:     0.112  0.068  0.049  0.047  0.096  0.064  0.564       94
 79:     0.127  0.348  0.074  0.060  0.071  0.216  0.105      100
 80:     0.527  0.106  0.069  0.047  0.044  0.110  0.098       50
 81:     0.308  0.170  0.116  0.091  0.102  0.140  0.074      100
 82:     0.192  0.219  0.144  0.125  0.111  0.138  0.072       98
 83:     0.548  0.071  0.093  0.143  0.058  0.038  0.050       50
 84:     0.087  0.052  0.028  0.049  0.032  0.046  0.706       99
 85:     0.202  0.236  0.134  0.134  0.110  0.112  0.072       99
 86:     0.459  0.149  0.079  0.059  0.087  0.078  0.089      100
 87:     0.477  0.071  0.070  0.081  0.121  0.106  0.075      100
 88:     0.505  0.107  0.083  0.067  0.096  0.069  0.074      100
 89:     0.209  0.184  0.114  0.109  0.165  0.104  0.115       99
 90:     0.411  0.099  0.088  0.088  0.031  0.114  0.170       48
 91:     0.050  0.095  0.055  0.063  0.048  0.131  0.558       28
 92:     0.427  0.145  0.048  0.047  0.134  0.065  0.134       50
 93:     0.464  0.131  0.065  0.066  0.073  0.089  0.113      100
 94:     0.407  0.151  0.067  0.039  0.109  0.110  0.117       50
 95:     0.077  0.068  0.088  0.097  0.133  0.108  0.429       41
 96:     0.286  0.247  0.092  0.102  0.110  0.077  0.086       81
 97:     0.429  0.137  0.034  0.077  0.112  0.099  0.111       50
 98:     0.288  0.316  0.060  0.157  0.054  0.063  0.062      100
 99:     0.207  0.221  0.141  0.108  0.108  0.122  0.092       89
100:     0.218  0.125  0.060  0.242  0.199  0.083  0.072       98
101:     0.209  0.160  0.156  0.115  0.103  0.103  0.154      100
102:     0.024  0.025  0.013  0.012  0.891  0.018  0.016       95
103:     0.164  0.311  0.105  0.162  0.054  0.125  0.080       50
104:     0.463  0.173  0.060  0.039  0.093  0.097  0.074       70
105:     0.120  0.088  0.077  0.047  0.064  0.075  0.528      100
106:     0.440  0.161  0.075  0.093  0.096  0.059  0.076       50
107:     0.516  0.115  0.061  0.067  0.100  0.071  0.070      100
108:     0.040  0.681  0.032  0.078  0.015  0.093  0.062       50
109:     0.237  0.170  0.146  0.110  0.099  0.148  0.090      100
110:     0.066  0.106  0.094  0.072  0.088  0.106  0.468       41
111:     0.087  0.131  0.092  0.050  0.081  0.076  0.484      100
112:     0.183  0.444  0.065  0.092  0.068  0.075  0.073       50
113:     0.503  0.146  0.038  0.065  0.073  0.086  0.089       97
114:     0.128  0.083  0.091  0.071  0.104  0.071  0.451      100
115:     0.480  0.064  0.081  0.048  0.107  0.082  0.138       49
116:     0.396  0.118  0.125  0.056  0.083  0.107  0.117      100
117:     0.298  0.249  0.113  0.044  0.053  0.103  0.141       50
118:     0.179  0.434  0.085  0.082  0.046  0.069  0.105      100
119:     0.204  0.191  0.129  0.084  0.160  0.093  0.139       90
120:     0.099  0.229  0.104  0.201  0.121  0.154  0.092       70
121:     0.088  0.152  0.072  0.314  0.190  0.150  0.034       82
122:     0.060  0.042  0.067  0.043  0.682  0.057  0.049       66
123:     0.052  0.039  0.031  0.108  0.694  0.038  0.039       28
124:     0.034  0.079  0.674  0.072  0.026  0.082  0.033       44
125:     0.038  0.057  0.651  0.078  0.043  0.085  0.047       60
126:     0.031  0.058  0.694  0.071  0.074  0.044  0.027       83
127:     0.051  0.034  0.759  0.037  0.046  0.026  0.048       49
128:     0.044  0.047  0.737  0.032  0.059  0.039  0.042       84
129:     0.061  0.101  0.487  0.125  0.085  0.082  0.060       53
130:     0.061  0.048  0.581  0.103  0.085  0.089  0.034       58
131:     0.060  0.069  0.519  0.115  0.106  0.097  0.034       78
132:     0.072  0.088  0.594  0.103  0.053  0.047  0.044       59
133:     0.098  0.042  0.523  0.093  0.055  0.101  0.087       41
134:     0.126  0.051  0.430  0.112  0.158  0.069  0.054       42
135:     0.099  0.083  0.337  0.237  0.069  0.127  0.048       30
136:     0.069  0.111  0.377  0.263  0.097  0.052  0.030       53
137:     0.115  0.220  0.094  0.152  0.095  0.254  0.069       58
138:     0.114  0.180  0.098  0.147  0.110  0.302  0.050       84
139:     0.035  0.322  0.098  0.341  0.085  0.069  0.050       81
140:     0.042  0.051  0.051  0.777  0.016  0.041  0.022       30
141:     0.058  0.245  0.093  0.340  0.098  0.142  0.025       37
142:     0.043  0.248  0.081  0.355  0.123  0.112  0.036       46
143:     0.050  0.104  0.062  0.417  0.146  0.155  0.067       55
144:     0.058  0.140  0.082  0.497  0.091  0.081  0.050       52
145:     0.050  0.175  0.068  0.503  0.075  0.093  0.036       73
146:     0.090  0.088  0.124  0.287  0.228  0.121  0.062       73
147:     0.048  0.138  0.069  0.526  0.064  0.110  0.045       53
148:     0.081  0.101  0.086  0.493  0.104  0.113  0.022       52
149:     0.079  0.139  0.087  0.460  0.065  0.131  0.038       44
150:     0.072  0.122  0.143  0.391  0.094  0.117  0.060       80
151:     0.074  0.129  0.109  0.365  0.130  0.126  0.068       49
152:     0.118  0.192  0.098  0.129  0.078  0.286  0.098       34
153:     0.128  0.254  0.181  0.121  0.109  0.142  0.065      100
--------------------------------------------

 Rep#:   Lambda   Alpha      F1    F2    F3    F4    F5    F6    F7     D1,2  D1,3  D1,4  D1,5  D1,6  D1,7  D2,3  D2,4  D2,5  D2,6  D2,7  D3,4  D3,5  D3,6  D3,7  D4,5  D4,6  D4,7  D5,6  D5,7  D6,7    Ln Like 
 1000:    1.00    0.166    0.016 0.002 0.022 0.018 0.039 0.013 0.037    0.014 0.040 0.030 0.031 0.024 0.034 0.024 0.013 0.023 0.008 0.031 0.029 0.033 0.024 0.055 0.031 0.018 0.057 0.029 0.050 0.032   --  
 2000:    1.00    0.139    0.015 0.005 0.018 0.014 0.022 0.010 0.030    0.016 0.037 0.028 0.026 0.022 0.030 0.028 0.014 0.022 0.011 0.033 0.023 0.029 0.021 0.048 0.025 0.015 0.049 0.024 0.038 0.030   --  
 3000:    1.00    0.116    0.013 0.006 0.019 0.016 0.020 0.010 0.025    0.014 0.033 0.023 0.022 0.021 0.027 0.029 0.012 0.021 0.011 0.032 0.021 0.027 0.022 0.046 0.021 0.012 0.044 0.022 0.035 0.030   --  
 4000:    1.00    0.109    0.014 0.008 0.018 0.016 0.021 0.011 0.024    0.015 0.032 0.028 0.023 0.020 0.025 0.027 0.014 0.019 0.011 0.032 0.019 0.025 0.019 0.043 0.022 0.012 0.045 0.019 0.033 0.029   --  
 5000:    1.00    0.105    0.013 0.008 0.020 0.018 0.018 0.011 0.024    0.016 0.032 0.027 0.023 0.021 0.024 0.027 0.015 0.020 0.010 0.031 0.019 0.026 0.018 0.041 0.022 0.012 0.042 0.019 0.030 0.026   --  
 6000:    1.00    0.097    0.012 0.008 0.019 0.016 0.019 0.012 0.022    0.015 0.031 0.024 0.020 0.020 0.025 0.031 0.014 0.018 0.012 0.031 0.022 0.024 0.019 0.044 0.021 0.013 0.043 0.017 0.030 0.027   --  
 7000:    1.00    0.096    0.013 0.007 0.019 0.014 0.017 0.011 0.019    0.014 0.030 0.025 0.021 0.021 0.024 0.025 0.014 0.018 0.010 0.029 0.020 0.023 0.019 0.040 0.020 0.012 0.041 0.019 0.029 0.028   --  
 8000:    1.00    0.092    0.011 0.007 0.016 0.016 0.019 0.012 0.022    0.013 0.031 0.023 0.020 0.019 0.023 0.027 0.013 0.018 0.011 0.030 0.019 0.024 0.020 0.044 0.021 0.012 0.043 0.020 0.031 0.028   --  
 9000:    1.00    0.090    0.011 0.008 0.019 0.012 0.017 0.013 0.023    0.012 0.029 0.022 0.019 0.020 0.025 0.024 0.012 0.018 0.010 0.030 0.016 0.023 0.019 0.040 0.019 0.010 0.042 0.020 0.032 0.029   --  

--------------------------------------------
Proportion of membership of each pre-defined
 population in each of the 7 clusters

Given    Inferred Clusters                                   Number of
 Pop       1      2      3      4      5      6      7      Individuals

  1:     0.056  0.083  0.107  0.244  0.087  0.252  0.172       45
  2:     0.012  0.027  0.026  0.012  0.015  0.018  0.891       50
  3:     0.052  0.108  0.069  0.056  0.248  0.242  0.225       48
  4:     0.083  0.056  0.148  0.146  0.119  0.286  0.164       50
  5:     0.121  0.134  0.063  0.133  0.086  0.423  0.039       50
  6:     0.118  0.162  0.150  0.126  0.113  0.239  0.091       49
  7:     0.114  0.109  0.065  0.156  0.084  0.416  0.056       43
  8:     0.070  0.165  0.030  0.205  0.014  0.472  0.044       46
  9:     0.044  0.063  0.044  0.095  0.462  0.145  0.147       60
 10:     0.098  0.191  0.063  0.121  0.123  0.329  0.074       38
 11:     0.069  0.112  0.038  0.095  0.029  0.617  0.040       50
 12:     0.056  0.057  0.051  0.120  0.067  0.636  0.013       48
 13:     0.124  0.028  0.100  0.132  0.186  0.301  0.129       50
 14:     0.063  0.118  0.097  0.033  0.072  0.087  0.530       57
 15:     0.062  0.093  0.177  0.106  0.162  0.128  0.271       48
 16:     0.043  0.041  0.018  0.010  0.014  0.030  0.844       48
 17:     0.094  0.030  0.136  0.170  0.264  0.141  0.166       50
 18:     0.107  0.163  0.124  0.142  0.055  0.366  0.043       44
 19:     0.093  0.087  0.102  0.105  0.050  0.497  0.066       50
 20:     0.084  0.177  0.037  0.129  0.051  0.499  0.023       50
 21:     0.023  0.027  0.027  0.017  0.039  0.047  0.819       48
 22:     0.087  0.040  0.081  0.087  0.079  0.452  0.172       50
 23:     0.093  0.088  0.103  0.108  0.095  0.453  0.060       49
 24:     0.046  0.039  0.148  0.046  0.056  0.598  0.066       50
 25:     0.175  0.121  0.095  0.147  0.021  0.361  0.080       50
 26:     0.106  0.166  0.057  0.114  0.154  0.341  0.062       50
 27:     0.072  0.111  0.115  0.066  0.079  0.094  0.463       55
 28:     0.062  0.117  0.077  0.026  0.127  0.121  0.469       50
 29:     0.063  0.085  0.119  0.364  0.128  0.194  0.048      108
 30:     0.043  0.124  0.161  0.277  0.089  0.215  0.092      109
 31:     0.100  0.108  0.065  0.146  0.056  0.484  0.040       49
 32:     0.048  0.113  0.084  0.169  0.061  0.406  0.120       50
 33:     0.129  0.108  0.037  0.074  0.318  0.191  0.142       50
 34:     0.127  0.144  0.073  0.035  0.101  0.086  0.434       50
 35:     0.091  0.082  0.153  0.055  0.187  0.154  0.278       50
 36:     0.047  0.037  0.155  0.055  0.024  0.644  0.038       39
 37:     0.119  0.205  0.046  0.156  0.097  0.280  0.097       47
 38:     0.084  0.128  0.120  0.059  0.070  0.458  0.081       67
 39:     0.068  0.100  0.084  0.018  0.153  0.538  0.040       34
 40:     0.128  0.152  0.033  0.101  0.098  0.441  0.048       58
 41:     0.156  0.119  0.117  0.104  0.095  0.308  0.102       86
 42:     0.179  0.093  0.102  0.174  0.050  0.362  0.040       44
 43:     0.053  0.131  0.088  0.158  0.046  0.489  0.035       44
 44:     0.110  0.093  0.058  0.032  0.087  0.054  0.567       50
 45:     0.101  0.077  0.069  0.160  0.068  0.475  0.050       35
 46:     0.075  0.103  0.148  0.065  0.139  0.359  0.111       50
 47:     0.055  0.095  0.116  0.037  0.087  0.554  0.056       36
 48:     0.107  0.081  0.093  0.034  0.068  0.203  0.415       53
 49:     0.040  0.047  0.040  0.076  0.020  0.019  0.758       57
 50:     0.109  0.186  0.108  0.052  0.043  0.093  0.409       49
 51:     0.061  0.042  0.163  0.092  0.203  0.217  0.221       42
 52:     0.088  0.111  0.096  0.120  0.051  0.411  0.125       50
 53:     0.053  0.078  0.070  0.541  0.070  0.129  0.060       50
 54:     0.056  0.060  0.153  0.380  0.143  0.149  0.058       44
 55:     0.049  0.111  0.216  0.316  0.098  0.166  0.043       50
 56:     0.021  0.015  0.055  0.805  0.059  0.022  0.023       30
 57:     0.059  0.119  0.142  0.216  0.109  0.308  0.047       50
 58:     0.095  0.169  0.151  0.340  0.057  0.136  0.052       50
 59:     0.036  0.097  0.157  0.368  0.130  0.159  0.054       33
 60:     0.024  0.037  0.061  0.469  0.072  0.317  0.020        9
 61:     0.077  0.096  0.165  0.239  0.150  0.214  0.059       50
 62:     0.032  0.107  0.385  0.342  0.019  0.092  0.024       32
 63:     0.058  0.063  0.188  0.355  0.095  0.185  0.057       50
 64:     0.063  0.047  0.039  0.680  0.044  0.100  0.025       50
 65:     0.033  0.028  0.022  0.780  0.052  0.031  0.054       29
 66:     0.031  0.084  0.166  0.408  0.115  0.118  0.078       50
 67:     0.077  0.058  0.064  0.559  0.103  0.111  0.027       31
 68:     0.037  0.116  0.194  0.439  0.099  0.088  0.028       27
 69:     0.078  0.078  0.285  0.226  0.081  0.197  0.055       20
 70:     0.037  0.073  0.113  0.480  0.065  0.163  0.069       50
 71:     0.104  0.111  0.065  0.112  0.062  0.492  0.055       50
 72:     0.084  0.038  0.126  0.569  0.032  0.114  0.038       37
 73:     0.100  0.041  0.110  0.031  0.036  0.131  0.550       81
 74:     0.609  0.047  0.106  0.066  0.044  0.048  0.079       50
 75:     0.177  0.199  0.164  0.157  0.091  0.133  0.079       50
 76:     0.352  0.198  0.084  0.057  0.076  0.142  0.091       89
 77:     0.157  0.258  0.073  0.065  0.357  0.051  0.040      100
 78:     0.163  0.039  0.027  0.014  0.060  0.060  0.636       94
 79:     0.135  0.322  0.057  0.038  0.060  0.251  0.137      100
 80:     0.639  0.074  0.040  0.046  0.054  0.058  0.090       50
 81:     0.387  0.118  0.129  0.051  0.077  0.183  0.055      100
 82:     0.210  0.243  0.155  0.143  0.085  0.087  0.078       98
 83:     0.517  0.266  0.008  0.072  0.073  0.029  0.035       50
 84:     0.059  0.023  0.030  0.038  0.036  0.027  0.788       99
 85:     0.122  0.287  0.127  0.099  0.149  0.120  0.096       99
 86:     0.485  0.128  0.064  0.057  0.120  0.067  0.079      100
 87:     0.464  0.153  0.041  0.062  0.162  0.065  0.052      100
 88:     0.525  0.151  0.077  0.040  0.057  0.068  0.083      100
 89:     0.200  0.193  0.114  0.073  0.197  0.092  0.131       99
 90:     0.440  0.103  0.075  0.107  0.056  0.057  0.162       48
 91:     0.065  0.111  0.077  0.055  0.032  0.092  0.566       28
 92:     0.483  0.079  0.107  0.056  0.111  0.052  0.112       50
 93:     0.623  0.048  0.057  0.054  0.050  0.057  0.110      100
 94:     0.541  0.105  0.063  0.048  0.035  0.121  0.087       50
 95:     0.065  0.033  0.074  0.026  0.137  0.114  0.551       41
 96:     0.298  0.241  0.094  0.075  0.141  0.073  0.079       81
 97:     0.515  0.149  0.082  0.058  0.063  0.064  0.068       50
 98:     0.142  0.589  0.054  0.038  0.072  0.051  0.054      100
 99:     0.211  0.239  0.151  0.073  0.123  0.127  0.075       89
100:     0.147  0.401  0.047  0.153  0.142  0.057  0.053       98
101:     0.224  0.235  0.094  0.068  0.155  0.058  0.165      100
102:     0.015  0.014  0.016  0.015  0.922  0.008  0.010       95
103:     0.131  0.447  0.095  0.099  0.076  0.091  0.062       50
104:     0.554  0.147  0.058  0.028  0.063  0.050  0.100       70
105:     0.117  0.074  0.032  0.043  0.084  0.038  0.612      100
106:     0.437  0.172  0.124  0.043  0.104  0.065  0.055       50
107:     0.446  0.184  0.036  0.049  0.175  0.054  0.058      100
108:     0.029  0.804  0.034  0.059  0.018  0.026  0.030       50
109:     0.311  0.126  0.146  0.112  0.093  0.117  0.095      100
110:     0.049  0.050  0.090  0.041  0.067  0.101  0.601       41
111:     0.070  0.075  0.073  0.058  0.118  0.037  0.569      100
112:     0.237  0.424  0.068  0.083  0.042  0.065  0.080       50
113:     0.539  0.188  0.008  0.060  0.089  0.071  0.045       97
114:     0.105  0.088  0.077  0.068  0.089  0.035  0.538      100
115:     0.562  0.096  0.054  0.034  0.120  0.061  0.074       49
116:     0.441  0.135  0.080  0.038  0.124  0.084  0.097      100
117:     0.227  0.267  0.123  0.077  0.076  0.109  0.121       50
118:     0.253  0.445  0.070  0.077  0.028  0.050  0.077      100
119:     0.325  0.168  0.112  0.122  0.118  0.085  0.071       90
120:     0.053  0.181  0.204  0.183  0.139  0.146  0.095       70
121:     0.046  0.569  0.064  0.139  0.082  0.076  0.025       82
122:     0.024  0.011  0.043  0.055  0.780  0.038  0.050       66
123:     0.087  0.082  0.115  0.065  0.117  0.471  0.062       28
124:     0.014  0.031  0.838  0.026  0.030  0.029  0.032       44
125:     0.031  0.056  0.814  0.015  0.025  0.034  0.026       60
126:     0.024  0.040  0.783  0.030  0.061  0.031  0.032       83
127:     0.038  0.044  0.795  0.019  0.027  0.044  0.033       49
128:     0.020  0.026  0.820  0.020  0.040  0.043  0.032       84
129:     0.072  0.055  0.560  0.148  0.020  0.106  0.038       53
130:     0.061  0.016  0.683  0.092  0.043  0.092  0.012       58
131:     0.029  0.052  0.633  0.106  0.085  0.060  0.035       78
132:     0.044  0.068  0.666  0.066  0.042  0.085  0.030       59
133:     0.031  0.066  0.575  0.082  0.099  0.099  0.048       41
134:     0.086  0.022  0.494  0.132  0.117  0.105  0.044       42
135:     0.040  0.050  0.329  0.414  0.076  0.048  0.044       30
136:     0.033  0.052  0.412  0.320  0.062  0.098  0.022       53
137:     0.139  0.230  0.088  0.151  0.039  0.271  0.082       58
138:     0.040  0.161  0.104  0.182  0.131  0.302  0.079       84
139:     0.051  0.438  0.088  0.244  0.072  0.064  0.043       81
140:     0.019  0.841  0.006  0.037  0.032  0.058  0.007       30
141:     0.007  0.737  0.076  0.092  0.036  0.033  0.018       37
142:     0.072  0.238  0.108  0.382  0.066  0.123  0.012       46
143:     0.024  0.215  0.059  0.474  0.111  0.061  0.057       55
144:     0.029  0.095  0.070  0.634  0.066  0.078  0.028       52
145:     0.052  0.095  0.051  0.637  0.052  0.079  0.035       73
146:     0.064  0.067  0.121  0.452  0.091  0.164  0.042       73
147:     0.055  0.050  0.063  0.651  0.061  0.094  0.027       53
148:     0.057  0.144  0.082  0.583  0.051  0.038  0.045       52
149:     0.038  0.120  0.031  0.534  0.051  0.199  0.027       44
150:     0.063  0.083  0.099  0.508  0.096  0.104  0.048       80
151:     0.094  0.154  0.082  0.465  0.079  0.075  0.052       49
152:     0.133  0.133  0.151  0.112  0.082  0.305  0.086       34
153:     0.142  0.110  0.217  0.156  0.175  0.149  0.050      100
--------------------------------------------

 Rep#:   Lambda   Alpha      F1    F2    F3    F4    F5    F6    F7     D1,2  D1,3  D1,4  D1,5  D1,6  D1,7  D2,3  D2,4  D2,5  D2,6  D2,7  D3,4  D3,5  D3,6  D3,7  D4,5  D4,6  D4,7  D5,6  D5,7  D6,7    Ln Like 
10000:    1.00    0.091    0.011 0.008 0.020 0.014 0.017 0.013 0.023    0.016 0.031 0.022 0.020 0.018 0.024 0.028 0.014 0.020 0.012 0.032 0.020 0.025 0.019 0.042 0.020 0.014 0.039 0.018 0.032 0.023   --  
