BBA_1	 pop_1 	Ssa197 	179 	187
BDN_14	 pop_2 	Ssa197 	171 	183
BDN_15	 pop_2 	Ssa197 	159 	183
BDN_16	 pop_2 	Ssa197 	167 	183
BDN_17	 pop_2 	Ssa197 	183 	191
BDN_18	 pop_2 	Ssa197 	167 	171
BDN_19	 pop_2 	Ssa197 	167 	167
BDN_20	 pop_2 	Ssa197 	175 	191
BDN_21	 pop_2 	Ssa197 	179 	183
BDN_22	 pop_2 	Ssa197 	195 	199
BDN_23	 pop_2 	Ssa197 	179 	183
BDN_24	 pop_2 	Ssa197 	167 	191
BDN_25	 pop_2 	Ssa197 	171 	171
BDN_26	 pop_2 	Ssa197 	175 	203
BDN_27	 pop_2 	Ssa197 	183 	195
BDN_28	 pop_2 	Ssa197 	167 	187
BDN_29	 pop_2 	Ssa197 	175 	175
BDN_30	 pop_2 	Ssa197 	175 	175
BDN_31	 pop_2 	Ssa197 	167 	179
BDN_32	 pop_2 	Ssa197 	175 	183
BDN_33	 pop_2 	Ssa197 	171 	239
BDN_34	 pop_2 	Ssa197 	171 	175
BDN_35	 pop_2 	Ssa197 	167 	195
BDN_36	 pop_2 	Ssa197 	163 	171
BDN_37	 pop_2 	Ssa197 	167 	171
BDN_38	 pop_2 	Ssa197 	167 	171
BDN_39	 pop_2 	Ssa197 	175 	215
BDN_40	 pop_2 	Ssa197 	175 	175
BDN_41	 pop_2 	Ssa197 	167 	183
BDN_42	 pop_2 	Ssa197 	183 	223
BDN_43	 pop_2 	Ssa197 	167 	175
BDN_44	 pop_2 	Ssa197 	167 	167
BDN_45	 pop_2 	Ssa197 	155 	187
BDN_46	 pop_2 	Ssa197 	171 	175
BDN_47	 pop_2 	Ssa197 	155 	175
BDN_48	 pop_2 	Ssa197 	171 	199
BDN_49	 pop_2 	Ssa197 	167 	171
BDN_50	 pop_2 	Ssa197 	163 	167
BDN_51	 pop_2 	Ssa197 	171 	175
BDN_52	 pop_2 	Ssa197 	163 	171
BDN_53	 pop_2 	Ssa197 	167 	167
BDN_54	 pop_2 	Ssa197 	163 	171
BDN_55	 pop_2 	Ssa197 	163 	179
BDN_56	 pop_2 	Ssa197 	167 	171
BDN_57	 pop_2 	Ssa197 	167 	175
BDN_58	 pop_2 	Ssa197 	167 	195
BDN_59	 pop_2 	Ssa197 	171 	231
BDN_60	 pop_2 	Ssa197 	183 	195
BDN_61	 pop_2 	Ssa197 	167 	187
BDN_62	 pop_2 	Ssa197 	155 	171
BDN_63	 pop_2 	Ssa197 	171 	175
BDN_64	 pop_2 	Ssa197 	155 	167
BDN_65	 pop_2 	Ssa197 	163 	183
BDN_66	 pop_2 	Ssa197 	163 	219
BDN_67	 pop_2 	Ssa197 	167 	175
BDN_68	 pop_2 	Ssa197 	175 	195
BDN_69	 pop_2 	Ssa197 	171 	187
BDN_70	 pop_2 	Ssa197 	175 	179
BDN_71	 pop_2 	Ssa197 	195 	207
BDN_72	 pop_2 	Ssa197 	175 	195
BDN_73	 pop_2 	Ssa197 	179 	179
BDN_74	 pop_2 	Ssa197 	171 	231
BDN_75	 pop_2 	Ssa197 	167 	187
BDN_76	 pop_2 	Ssa197 	171 	171
BDNB_1	 pop_3 	Ssa197 	163 	163
BDNB_2	 pop_3 	Ssa197 	163 	195
BDNB_3	 pop_3 	Ssa197 	167 	179
BDNB_4	 pop_3 	Ssa197 	171 	183
BDNB_5	 pop_3 	Ssa197 	183 	199
BDNB_6	 pop_3 	Ssa197 	159 	175
BDNB_7	 pop_3 	Ssa197 	179 	195
BDNB_8	 pop_3 	Ssa197 	167 	191
BDNB_9	 pop_3 	Ssa197 	167 	191
BDNB_10	 pop_3 	Ssa197 	171 	175
BDNB_11	 pop_3 	Ssa197 	171 	187
BDNB_12	 pop_3 	Ssa197 	171 	171
BDNB_13	 pop_3 	Ssa197 	175 	219
BDNB_14	 pop_3 	Ssa197 	167 	167
BDNB_15	 pop_3 	Ssa197 	171 	179
BDNB_16	 pop_3 	Ssa197 	175 	179
BDNB_17	 pop_3 	Ssa197 	179 	195
BDNB_18	 pop_3 	Ssa197 	171 	191
BDNB_19	 pop_3 	Ssa197 	171 	171
BDNB_20	 pop_3 	Ssa197 	171 	195
BDNB_21	 pop_3 	Ssa197 	171 	175
BDNB_22	 pop_3 	Ssa197 	175 	187
BDNB_23	 pop_3 	Ssa197 	171 	171
BDNB_24	 pop_3 	Ssa197 	167 	175
BDNB_25	 pop_3 	Ssa197 	175 	235
BDNB_26	 pop_3 	Ssa197 	179 	191
BDNB_27	 pop_3 	Ssa197 	171 	231
BDNB_28	 pop_3 	Ssa197 	175 	195
BDNB_29	 pop_3 	Ssa197 	171 	187
BDNB_30	 pop_3 	Ssa197 	171 	171
BDNB_31	 pop_3 	Ssa197 	175 	191
BDNB_32	 pop_3 	Ssa197 	171 	203
BDNB_33	 pop_3 	Ssa197 	191 	191
BDNB_34	 pop_3 	Ssa197 	167 	167
BDNB_35	 pop_3 	Ssa197 	167 	171
BDNB_36	 pop_3 	Ssa197 	163 	175
BDNB_37	 pop_3 	Ssa197 	163 	171
BDNB_38	 pop_3 	Ssa197 	155 	191
BDNB_39	 pop_3 	Ssa197 	163 	191
BDNB_40	 pop_3 	Ssa197 	183 	195
BDNB_41	 pop_3 	Ssa197 	183 	191
BDNB_42	 pop_3 	Ssa197 	155 	175
BDNB_43	 pop_3 	Ssa197 	167 	179
BDNB_44	 pop_3 	Ssa197 	163 	167
BDNB_45	 pop_3 	Ssa197 	183 	191
BDNB_46	 pop_3 	Ssa197 	167 	171
BDNB_47	 pop_3 	Ssa197 	171 	183
BDNB_48	 pop_3 	Ssa197 	167 	231
BDNB_49	 pop_3 	Ssa197 	183 	187
BDNB_50	 pop_3 	Ssa197 	171 	175
BDNB_51	 pop_3 	Ssa197 	171 	187
BDNB_52	 pop_3 	Ssa197 	167 	175
BDNB_53	 pop_3 	Ssa197 	171 	191
BDNB_54	 pop_3 	Ssa197 	155 	183
BDNB_55	 pop_3 	Ssa197 	155 	163
BDNB_56	 pop_3 	Ssa197 	171 	183
BDNB_57	 pop_3 	Ssa197 	163 	175
BDNB_58	 pop_3 	Ssa197 	179 	183
BDNB_59	 pop_3 	Ssa197 	167 	167
BDNB_60	 pop_3 	Ssa197 	187 	187
BDNB_61	 pop_3 	Ssa197 	167 	199
BDNB_62	 pop_3 	Ssa197 	171 	175
BDNB_63	 pop_3 	Ssa197 	167 	171
BDNB_64	 pop_3 	Ssa197 	175 	183
BDNB_65	 pop_3 	Ssa197 	163 	183
BDNB_66	 pop_3 	Ssa197 	171 	187
BDNB_67	 pop_3 	Ssa197 	163 	183
BDNB_68	 pop_3 	Ssa197 	167 	187
BDNB_69	 pop_3 	Ssa197 	167 	199
BDNB_70	 pop_3 	Ssa197 	171 	199
BDNB_71	 pop_3 	Ssa197 	163 	183
BDNB_72	 pop_3 	Ssa197 	171 	183
BDNB_73	 pop_3 	Ssa197 	167 	179
BDNB_74	 pop_3 	Ssa197 	171 	187
BDNB_75	 pop_3 	Ssa197 	167 	175
BSB_1	 pop_4 	Ssa197 	175 	199
BSB_2	 pop_4 	Ssa197 	167 	175
BSB_3	 pop_4 	Ssa197 	171 	175
BSB_4	 pop_4 	Ssa197 	175 	183
BSB_5	 pop_4 	Ssa197 	175 	195
BSB_6	 pop_4 	Ssa197 	179 	179
BSB_7	 pop_4 	Ssa197 	0 	0
BSB_8	 pop_4 	Ssa197 	175 	175
BSB_9	 pop_4 	Ssa197 	159 	171
BSB_10	 pop_4 	Ssa197 	167 	175
BSB_11	 pop_4 	Ssa197 	167 	171
BSB_12	 pop_4 	Ssa197 	187 	195
BSB_13	 pop_4 	Ssa197 	167 	175
BSB_14	 pop_4 	Ssa197 	175 	203
BSB_15	 pop_4 	Ssa197 	171 	227
BSB_16	 pop_4 	Ssa197 	171 	175
BSB_17	 pop_4 	Ssa197 	167 	211
BSB_18	 pop_4 	Ssa197 	183 	191
BSB_19	 pop_4 	Ssa197 	167 	167
BSB_20	 pop_4 	Ssa197 	175 	183
BSB_21	 pop_4 	Ssa197 	171 	183
BSB_22	 pop_4 	Ssa197 	167 	171
BSB_23	 pop_4 	Ssa197 	167 	171
BSB_24	 pop_4 	Ssa197 	175 	195
BSB_25	 pop_4 	Ssa197 	163 	167
BSB_26	 pop_4 	Ssa197 	171 	175
BSB_27	 pop_4 	Ssa197 	167 	227
BSB_28	 pop_4 	Ssa197 	159 	167
BSB_29	 pop_4 	Ssa197 	175 	179
BSB_30	 pop_4 	Ssa197 	171 	179
BSB_31	 pop_4 	Ssa197 	171 	179
BSB_32	 pop_4 	Ssa197 	179 	207
BSB_33	 pop_4 	Ssa197 	159 	175
BSB_34	 pop_4 	Ssa197 	167 	187
BSB_35	 pop_4 	Ssa197 	171 	211
BSB_36	 pop_4 	Ssa197 	175 	195
BSB_37	 pop_4 	Ssa197 	171 	203
BSB_38	 pop_4 	Ssa197 	0 	0
BSB_39	 pop_4 	Ssa197 	179 	195
BSB_40	 pop_4 	Ssa197 	171 	187
BSB_41	 pop_4 	Ssa197 	167 	175
BSB_42	 pop_4 	Ssa197 	163 	171
BSB_43	 pop_4 	Ssa197 	171 	227
BSB_44	 pop_4 	Ssa197 	179 	183
BSB_45	 pop_4 	Ssa197 	175 	175
BSB_46	 pop_4 	Ssa197 	187 	195
BSB_47	 pop_4 	Ssa197 	175 	187
BSB_48	 pop_4 	Ssa197 	171 	171
BSB_49	 pop_4 	Ssa197 	171 	183
BSB_50	 pop_4 	Ssa197 	0 	0
BSB_51	 pop_4 	Ssa197 	171 	183
BSB_52	 pop_4 	Ssa197 	175 	195
BSB_53	 pop_4 	Ssa197 	175 	187
BSB_54	 pop_4 	Ssa197 	175 	175
BSB_55	 pop_4 	Ssa197 	179 	203
BSB_56	 pop_4 	Ssa197 	167 	175
BSB_57	 pop_4 	Ssa197 	175 	187
BSB_58	 pop_4 	Ssa197 	171 	183
BSB_59	 pop_4 	Ssa197 	163 	179
BSB_60	 pop_4 	Ssa197 	0 	0
BSB_61	 pop_4 	Ssa197 	167 	175
BSB_62	 pop_4 	Ssa197 	199 	203
BSB_63	 pop_4 	Ssa197 	171 	175
BSB_64	 pop_4 	Ssa197 	163 	175
BSB_65	 pop_4 	Ssa197 	159 	175
BSB_66	 pop_4 	Ssa197 	171 	171
BSB_67	 pop_4 	Ssa197 	167 	175
BSB_68	 pop_4 	Ssa197 	175 	175
BSB_69	 pop_4 	Ssa197 	179 	199
BSB_70	 pop_4 	Ssa197 	167 	175
BSB_71	 pop_4 	Ssa197 	175 	203
BSB_72	 pop_4 	Ssa197 	167 	175
BSB_73	 pop_4 	Ssa197 	171 	175
BSB_74	 pop_4 	Ssa197 	167 	183
BSB_75	 pop_4 	Ssa197 	171 	179
BSB_76	 pop_4 	Ssa197 	175 	175
BSB_77	 pop_4 	Ssa197 	0 	0
BSB_78	 pop_4 	Ssa197 	167 	167
CCR_1	 pop_5 	Ssa197 	159 	163
CCR_2	 pop_5 	Ssa197 	179 	179
CCR_3	 pop_5 	Ssa197 	179 	187
CCR_4	 pop_5 	Ssa197 	167 	179
CCR_5	 pop_5 	Ssa197 	179 	195
CCR_6	 pop_5 	Ssa197 	187 	187
CCR_7	 pop_5 	Ssa197 	175 	207
CCR_8	 pop_5 	Ssa197 	163 	183
CCR_9	 pop_5 	Ssa197 	159 	179
CCR_10	 pop_5 	Ssa197 	163 	167
CCR_11	 pop_5 	Ssa197 	187 	215
CCR_12	 pop_5 	Ssa197 	195 	203
CCR_13	 pop_5 	Ssa197 	171 	187
CCR_14	 pop_5 	Ssa197 	175 	195
CCR_15	 pop_5 	Ssa197 	167 	183
CCR_16	 pop_5 	Ssa197 	179 	183
CCR_17	 pop_5 	Ssa197 	167 	167
CCR_18	 pop_5 	Ssa197 	171 	183
CCR_19	 pop_5 	Ssa197 	171 	171
CCR_20	 pop_5 	Ssa197 	171 	175
CCR_21	 pop_5 	Ssa197 	179 	195
CCR_22	 pop_5 	Ssa197 	179 	183
CCR_23	 pop_5 	Ssa197 	191 	215
CCR_24	 pop_5 	Ssa197 	171 	215
CCR_25	 pop_5 	Ssa197 	171 	195
CCR_26	 pop_5 	Ssa197 	179 	179
CCR_27	 pop_5 	Ssa197 	171 	179
CCR_28	 pop_5 	Ssa197 	179 	187
CCR_29	 pop_5 	Ssa197 	171 	171
CCR_30	 pop_5 	Ssa197 	171 	179
CCR_31	 pop_5 	Ssa197 	163 	179
CCR_32	 pop_5 	Ssa197 	163 	179
CCR_33	 pop_5 	Ssa197 	175 	191
CCR_34	 pop_5 	Ssa197 	171 	187
CCR_35	 pop_5 	Ssa197 	187 	203
CCR_36	 pop_5 	Ssa197 	183 	187
CCR_37	 pop_5 	Ssa197 	171 	199
CCR_38	 pop_5 	Ssa197 	179 	187
CCR_39	 pop_5 	Ssa197 	171 	171
CCR_40	 pop_5 	Ssa197 	167 	251
CCR_41	 pop_5 	Ssa197 	179 	187
CCR_42	 pop_5 	Ssa197 	175 	179
CCR_43	 pop_5 	Ssa197 	187 	191
CCR_44	 pop_5 	Ssa197 	175 	175
CCR_45	 pop_5 	Ssa197 	163 	167
CCR_46	 pop_5 	Ssa197 	175 	187
CCR_47	 pop_5 	Ssa197 	159 	171
CCR_48	 pop_5 	Ssa197 	171 	175
CCR_49	 pop_5 	Ssa197 	167 	171
CCR_50	 pop_5 	Ssa197 	175 	179
CCR_51	 pop_5 	Ssa197 	171 	215
CCR_52	 pop_5 	Ssa197 	159 	187
CCR_53	 pop_5 	Ssa197 	175 	179
CCR_54	 pop_5 	Ssa197 	167 	175
CCR_55	 pop_5 	Ssa197 	171 	183
CCR_56	 pop_5 	Ssa197 	187 	187
CCR_57	 pop_5 	Ssa197 	179 	179
CCR_58	 pop_5 	Ssa197 	159 	171
CCR_59	 pop_5 	Ssa197 	175 	183
CCR_60	 pop_5 	Ssa197 	179 	191
CCR_61	 pop_5 	Ssa197 	179 	187
CCR_62	 pop_5 	Ssa197 	183 	187
CCR_63	 pop_5 	Ssa197 	179 	187
CCR_64	 pop_5 	Ssa197 	167 	175
CCR_65	 pop_5 	Ssa197 	171 	179
CCR_66	 pop_5 	Ssa197 	167 	171
CCR_67	 pop_5 	Ssa197 	171 	171
CCR_68	 pop_5 	Ssa197 	175 	179
CCR_69	 pop_5 	Ssa197 	171 	175
CCR_70	 pop_5 	Ssa197 	179 	179
CCR_71	 pop_5 	Ssa197 	159 	167
CCR_72	 pop_5 	Ssa197 	179 	179
CCR_73	 pop_5 	Ssa197 	171 	187
CCR_74	 pop_5 	Ssa197 	163 	167
CCR_75	 pop_5 	Ssa197 	167 	179
CCR_76	 pop_5 	Ssa197 	163 	171
CCR_77	 pop_5 	Ssa197 	167 	187
CCR_78	 pop_5 	Ssa197 	167 	199
CCR_79	 pop_5 	Ssa197 	167 	183
CCR_80	 pop_5 	Ssa197 	171 	179
CMB_1	 pop_6 	Ssa197 	179 	199
CMB_2	 pop_6 	Ssa197 	155 	179
CMB_3	 pop_6 	Ssa197 	155 	183
CMB_4	 pop_6 	Ssa197 	163 	179
CMB_5	 pop_6 	Ssa197 	167 	167
CMB_6	 pop_6 	Ssa197 	167 	187
CMB_7	 pop_6 	Ssa197 	155 	171
CMB_8	 pop_6 	Ssa197 	175 	179
CMB_9	 pop_6 	Ssa197 	151 	171
CMB_10	 pop_6 	Ssa197 	175 	195
CMB_11	 pop_6 	Ssa197 	167 	175
CMB_12	 pop_6 	Ssa197 	155 	179
CMB_13	 pop_6 	Ssa197 	155 	167
CMB_14	 pop_6 	Ssa197 	171 	231
CMB_15	 pop_6 	Ssa197 	179 	183
CMB_16	 pop_6 	Ssa197 	171 	175
CMB_17	 pop_6 	Ssa197 	171 	175
CMB_18	 pop_6 	Ssa197 	175 	231
CMB_19	 pop_6 	Ssa197 	171 	179
CMB_20	 pop_6 	Ssa197 	167 	231
CMB_21	 pop_6 	Ssa197 	155 	175
CMB_22	 pop_6 	Ssa197 	167 	175
CMB_23	 pop_6 	Ssa197 	227 	231
CMB_24	 pop_6 	Ssa197 	175 	179
CMB_25	 pop_6 	Ssa197 	155 	167
CMB_26	 pop_6 	Ssa197 	155 	167
CMB_27	 pop_6 	Ssa197 	155 	155
CMB_28	 pop_6 	Ssa197 	231 	231
CMB_29	 pop_6 	Ssa197 	175 	199
CMB_30	 pop_6 	Ssa197 	187 	227
CMB_31	 pop_6 	Ssa197 	187 	207
CMB_32	 pop_6 	Ssa197 	167 	171
CMB_33	 pop_6 	Ssa197 	167 	179
CMB_34	 pop_6 	Ssa197 	167 	183
CMB_35	 pop_6 	Ssa197 	167 	175
CMB_36	 pop_6 	Ssa197 	155 	159
CMB_37	 pop_6 	Ssa197 	155 	183
CMB_38	 pop_6 	Ssa197 	163 	167
CMB_39	 pop_6 	Ssa197 	171 	183
CMB_40	 pop_6 	Ssa197 	155 	175
CMB_41	 pop_6 	Ssa197 	167 	187
CMB_42	 pop_6 	Ssa197 	227 	235
CMB_43	 pop_6 	Ssa197 	163 	171
CMB_44	 pop_6 	Ssa197 	175 	183
CMB_45	 pop_6 	Ssa197 	175 	235
CMB_46	 pop_6 	Ssa197 	163 	179
CMB_47	 pop_6 	Ssa197 	155 	167
CMB_48	 pop_6 	Ssa197 	155 	155
CMB_49	 pop_6 	Ssa197 	155 	231
CMB_50	 pop_6 	Ssa197 	175 	179
CMB_51	 pop_6 	Ssa197 	155 	175
CMB_52	 pop_6 	Ssa197 	155 	191
CMB_53	 pop_6 	Ssa197 	167 	183
CMB_54	 pop_6 	Ssa197 	151 	175
CMB_55	 pop_6 	Ssa197 	175 	191
CMB_56	 pop_6 	Ssa197 	159 	167
CMB_57	 pop_6 	Ssa197 	155 	183
CMB_58	 pop_6 	Ssa197 	167 	171
CMB_59	 pop_6 	Ssa197 	167 	179
CMB_60	 pop_6 	Ssa197 	171 	187
CMB_61	 pop_6 	Ssa197 	171 	187
CMB_62	 pop_6 	Ssa197 	167 	183
CMB_63	 pop_6 	Ssa197 	171 	187
CMB_64	 pop_6 	Ssa197 	175 	191
CMB_65	 pop_6 	Ssa197 	155 	175
CMB_66	 pop_6 	Ssa197 	179 	187
CMB_67	 pop_6 	Ssa197 	175 	179
CMB_68	 pop_6 	Ssa197 	167 	175
CMB_69	 pop_6 	Ssa197 	171 	175
CMB_70	 pop_6 	Ssa197 	175 	175
CMB_71	 pop_6 	Ssa197 	155 	231
CMB_72	 pop_6 	Ssa197 	171 	195
CMB_73	 pop_6 	Ssa197 	163 	199
CMB_74	 pop_6 	Ssa197 	167 	175
CMB_75	 pop_6 	Ssa197 	155 	183
CMB_76	 pop_6 	Ssa197 	175 	183
CMB_77	 pop_6 	Ssa197 	187 	191
CNR_1	 pop_7 	Ssa197 	187 	231
CNR_2	 pop_7 	Ssa197 	171 	171
CNR_3	 pop_7 	Ssa197 	155 	175
CNR_4	 pop_7 	Ssa197 	155 	187
CNR_5	 pop_7 	Ssa197 	159 	183
CNR_6	 pop_7 	Ssa197 	155 	179
CNR_7	 pop_7 	Ssa197 	167 	175
CNR_8	 pop_7 	Ssa197 	155 	171
CNR_9	 pop_7 	Ssa197 	159 	175
CNR_10	 pop_7 	Ssa197 	175 	231
CNR_11	 pop_7 	Ssa197 	155 	179
CNR_12	 pop_7 	Ssa197 	155 	183
CNR_13	 pop_7 	Ssa197 	155 	175
CNR_14	 pop_7 	Ssa197 	175 	175
CNR_15	 pop_7 	Ssa197 	155 	179
CNR_16	 pop_7 	Ssa197 	163 	179
CNR_17	 pop_7 	Ssa197 	179 	179
CNR_18	 pop_7 	Ssa197 	155 	187
CNR_19	 pop_7 	Ssa197 	155 	179
CNR_20	 pop_7 	Ssa197 	175 	231
CNR_21	 pop_7 	Ssa197 	163 	167
CNR_22	 pop_7 	Ssa197 	175 	179
CNR_23	 pop_7 	Ssa197 	175 	175
CNR_24	 pop_7 	Ssa197 	187 	187
CNR_25	 pop_7 	Ssa197 	167 	179
CNR_26	 pop_7 	Ssa197 	155 	175
CNR_27	 pop_7 	Ssa197 	175 	179
CNR_28	 pop_7 	Ssa197 	175 	175
CNR_29	 pop_7 	Ssa197 	167 	167
CNR_30	 pop_7 	Ssa197 	171 	171
CNR_31	 pop_7 	Ssa197 	155 	175
CNR_32	 pop_7 	Ssa197 	171 	231
CNR_33	 pop_7 	Ssa197 	155 	171
CNR_34	 pop_7 	Ssa197 	171 	175
CNR_35	 pop_7 	Ssa197 	171 	175
CNR_36	 pop_7 	Ssa197 	171 	175
CNR_37	 pop_7 	Ssa197 	155 	179
CNR_38	 pop_7 	Ssa197 	175 	187
CNR_39	 pop_7 	Ssa197 	155 	179
CNR_40	 pop_7 	Ssa197 	175 	175
CNR_41	 pop_7 	Ssa197 	155 	179
CNR_42	 pop_7 	Ssa197 	155 	187
CNR_43	 pop_7 	Ssa197 	171 	171
CNR_44	 pop_7 	Ssa197 	175 	179
CNR_45	 pop_7 	Ssa197 	155 	231
CNR_46	 pop_7 	Ssa197 	171 	183
CNR_47	 pop_7 	Ssa197 	179 	235
CNR_48	 pop_7 	Ssa197 	167 	175
CNR_49	 pop_7 	Ssa197 	155 	175
CNR_50	 pop_7 	Ssa197 	179 	179
CNR_51	 pop_7 	Ssa197 	167 	175
CNR_52	 pop_7 	Ssa197 	171 	175
CNR_53	 pop_7 	Ssa197 	155 	179
CNR_54	 pop_7 	Ssa197 	155 	167
CNR_55	 pop_7 	Ssa197 	175 	175
CNR_56	 pop_7 	Ssa197 	155 	175
CNR_57	 pop_7 	Ssa197 	167 	191
CNR_58	 pop_7 	Ssa197 	167 	175
CNR_59	 pop_7 	Ssa197 	179 	179
CNR_60	 pop_7 	Ssa197 	163 	171
CNR_61	 pop_7 	Ssa197 	155 	187
CNR_62	 pop_7 	Ssa197 	183 	227
CNR_63	 pop_7 	Ssa197 	163 	167
CNR_64	 pop_7 	Ssa197 	171 	175
CNR_65	 pop_7 	Ssa197 	155 	155
CNR_66	 pop_7 	Ssa197 	155 	187
CNR_67	 pop_7 	Ssa197 	167 	175
CNR_68	 pop_7 	Ssa197 	179 	179
CNR_69	 pop_7 	Ssa197 	155 	175
CNR_70	 pop_7 	Ssa197 	175 	179
CNR_71	 pop_7 	Ssa197 	179 	231
CNR_72	 pop_7 	Ssa197 	167 	175
CNR_73	 pop_7 	Ssa197 	167 	171
CNR_74	 pop_7 	Ssa197 	175 	183
CNR_75	 pop_7 	Ssa197 	155 	187
CNR_76	 pop_7 	Ssa197 	175 	175
CNR_77	 pop_7 	Ssa197 	155 	175
CNR_78	 pop_7 	Ssa197 	155 	187
CNR_79	 pop_7 	Ssa197 	167 	231
CNR_80	 pop_7 	Ssa197 	155 	171
CNR_81	 pop_7 	Ssa197 	175 	179
CNR_82	 pop_7 	Ssa197 	187 	187
CNR_83	 pop_7 	Ssa197 	171 	175
CNR_84	 pop_7 	Ssa197 	175 	175
CNR_85	 pop_7 	Ssa197 	155 	175
CNR_86	 pop_7 	Ssa197 	175 	187
CNR_87	 pop_7 	Ssa197 	175 	179
CNR_88	 pop_7 	Ssa197 	155 	195
CNR_89	 pop_7 	Ssa197 	175 	187
CNR_90	 pop_7 	Ssa197 	171 	175
CNR_91	 pop_7 	Ssa197 	155 	179
CNR_92	 pop_7 	Ssa197 	175 	179
CNR_93	 pop_7 	Ssa197 	175 	187
CNR_94	 pop_7 	Ssa197 	179 	231
CNR_95	 pop_7 	Ssa197 	171 	187
CNR_96	 pop_7 	Ssa197 	179 	179
CNR_97	 pop_7 	Ssa197 	175 	175
CNR_98	 pop_7 	Ssa197 	163 	175
CNR_99	 pop_7 	Ssa197 	171 	179
DHB_1	 pop_8 	Ssa197 	175 	183
DHB_2	 pop_8 	Ssa197 	175 	183
DHB_3	 pop_8 	Ssa197 	183 	183
