"","Populations","Allelic Richness","Expected Het","HWE values"
"43","QC-SU-01,","7.71","0.83","1"
"44","QC-SHR-01,","8.65","0.85","0.4268"
"45","QC-SJQ2-01,","8.44","0.85","0.662"
"46","QC-SJQ8-01,","8.41","0.86","0"
"47","QC-SM-01,","7.83","0.84","0.7487"
"48","QC-SPQ9-01,","8.01","0.83","0.188"
"49","QC-SW-10,","6.44","0.77","0"
"50","QC-VF-01,","8.02","0.84","0.1513"
"51","QC-WAT-01,","7.76","0.83","0.9997"
"52","QC-YO-01,","8.37","0.86","0.83"
"53","GU-ANW-01,","8.53","0.85","0.2122"
"54","GU-COC-01,","8.55","0.86","0.9888"
"55","GU-CLW-01,","8.9","0.86","0.3541"
"56","GU-CRO-01,","6.84","0.78","0"
"57","GU-DUN-01,","8.74","0.85","0.5505"
"58","GU-JT-01,","8.79","0.86","0.3855"
"59","GU-KC-01,","8.51","0.84","2e-04"
"60","GU-KC6-01,","7.2","0.82","0.7723"
"61","GU-LSW-01,","8.42","0.85","0.1775"
"62","GU-MIL-01,","6.86","0.79","0.9995"
"63","GU-MOR-01,","7.89","0.83","0.585"
"64","GU-MU-01,","8.03","0.83","0.9765"
"65","GU-NLC-01,","6.41","0.77","1"
"66","GU-NWB-01,","8.54","0.85","0.9965"
"67","GU-PE-01,","8.17","0.84","0.0869"
"68","GU-PH-01,","8.17","0.83","0.2971"
"69","GU-RC-01,","8.13","0.84","0.0145"
"70","GU-TB-01,","8.78","0.86","0.9736"
"71","GU-UP-01,","8.75","0.86","0.9778"
"72","GU-WE-01,","7.19","0.8","0.313"
"73","NL-ALX-3700,","8.88","0.85","0.0025"
"74","NL-BBR-1700,","8.42","0.84","0.0086"
"75","NL-BDB-2800,","8.04","0.84","0.9848"
"76","NL-BDN-1584,","8.17","0.86","0.9999"
"77","NL-BER-4600,","8.29","0.86","0.7263"
"78","NL-BIG-4100,","8.67","0.86","0.9487"
"79","NL-BVB-3200,","8.28","0.83","0.7904"
"80","NL-CMP-3600,","8.48","0.84","0.8178"
"81","NL-CNR-4700,","8.14","0.82","0.9254"
"82","NL-COD-1800,","8.66","0.87","0.9075"
"83","NL-DWB-3050,","7.37","0.81","0.2213"
"84","NL-ENG-5000,","7.58","0.82","0"
"85","NL-FLB-1600,","8.22","0.86","0.0022"
"86","NL-GAR-2400,","7.82","0.84","0.3284"
"87","NL-GBB-2500,","7.85","0.84","0.9687"
"88","NL-GRB-2200,","8.53","0.84","0.4755"
"89","NL-GRR-1284,","8.34","0.87","2e-04"
"90","NL-GSB-4272,","8.14","0.84","0.9047"
"91","NL-HUR-3909,","7.72","0.84","0.0167"
"92","NL-IAB-3650,","7.97","0.84","0.0076"
"93","NL-IBB-4400,","8.06","0.83","0"
"94","NL-JUB-2000,","8.26","0.83","0.5504"
"95","NL-KEN-3800,","8.24","0.85","0.9863"
"96","NL-LHR-1484,","7.4","0.84","0.9404"
"97","NL-LJB-1750,","8.43","0.85","0.957"
"98","NL-LOM-3100,","7.89","0.83","0.0728"
"99","NL-LPR-1184,","8.13","0.86","0.9072"
"100","NL-MBA-1900,","8.17","0.85","0.0066"
"101","NL-MNR-5200,","8.74","0.86","0.9433"
"102","NL-NBT-5500,","5.5","0.7","1"
"103","NL-PGB-2850,","7.66","0.82","0.5695"
"104","NL-PHR-2300,","8.88","0.86","0"
"105","NL-PIN-5400,","8.83","0.86","0.9387"
"106","NL-RBR-2050,","8.38","0.85","0.1454"
"107","NL-RKR-4800,","8.41","0.84","0.0518"
"108","NL-ROF-3300,","7.24","0.77","0.4431"
"109","NL-ROP-3400,","8.58","0.85","0.998"
"110","NL-RWR-4000,","8.33","0.85","0.9638"
"111","NL-SAN-5100,","8.93","0.86","0.988"
"112","NL-SGR-3350,","8.55","0.84","0.0401"
"113","NL-SLR-1000,","8.12","0.86","0"
"114","NL-SMR-5300,","8.74","0.86","1e-04"
"115","NL-SRN-4222,","7.96","0.84","0.2661"
"116","NL-TNR-4500,","8.95","0.87","0.9765"
"117","NL-TYB-3000,","8.4","0.86","0.5589"
"118","NL-WAB-3500,","8.66","0.85","3e-04"
"119","NL-WBR-1384,","7.93","0.85","0.0015"
"120","NS-NSH00X1,","8.32","0.86","0"
"121","NS-STW01X1,","7.06","0.79","1e-04"
"122","NS-GAK02X1,","6.97","0.8","0"
"123","NS-ROH00X1,","4.93","0.66","0.7335"
"124","NS-SAD00X1,","7.34","0.78","0.0085"
"125","NS-TSK99X1,","7.71","0.83","1e-04"
"126","NS-MED01X1,","8.23","0.82","0.0972"
"127","NS-LAH00X1,","7.62","0.81","0.3909"
"128","NS-GLD01X1,","7.99","0.82","0"
"129","NS-MSQ00X1,","7.71","0.83","0.0599"
"130","NS-MOS00X1,","7.53","0.8","3e-04"
"131","NS-SMA00X1,","8.3","0.83","1e-04"
"132","NS-smE07X1,","8.32","0.82","0.8425"
"133","NS-smW07X1,","7.59","0.8","0"
"134","NS-COU00X1,","8.08","0.84","0.0057"
"135","NS-SAG09X1,","8.11","0.81","0.0098"
"136","NS-GRA10X1,","8.14","0.84","0.9642"
"137","NS-RKR03X1,","8.69","0.86","0.9982"
"138","NS-TOB0001X1,","8.32","0.84","4e-04"
"139","NS-BSR01X1,","7.68","0.82","0"
"140","NS-ECO01X1,","4.85","0.69","0.0814"
"141","NS-GRV01X1,","7.07","0.8","0.1727"
"142","NS-PWF02X1,","7.08","0.8","0.3226"
"143","NS-USR0102X1,","7.02","0.79","0"
"144","NS-ESK0607X1,","7.86","0.83","0.0059"
"145","NS-MDV06X1,","8.69","0.83","0.1125"
"146","NS-NRV06X1,","8.05","0.81","0.9822"
"147","NS-INH10X1,","7.8","0.82","4e-04"
"148","NS-BAD10X1,","8.45","0.83","0.3325"
"149","NS-NRA0607X1,","8.26","0.83","0.9081"
"150","NS-MAB06X1,","8.54","0.84","0.832"
"151","NS-MRG01X1,","8.78","0.86","0.8788"
"152","NS-RES01X1,","8.54","0.86","0.0026"
"153","US-NA11476,","8.22","0.83","0.2993"
