
QC-ANG-01
hwe_hom	0.243524352435244	NA	NA	NA	0.448844884488449	NA	NA	0.0465874817280249	NA	NA	0.0489048904890489	NA	NA	NA	0.41984198419842	0.953
hwe_het	NA	0.0246024602460246	0.206920692069207	0.0348034803480348	NA	0.0109010901090109	0.206520652065207	NA	0.191019101910191	0.116911691169117	NA	0.088008800880088	0.0539053905390539	0.208820882088209	NA	0.01

QC-ARO-01
stat	Ssa85	Ssa197	Ssa202	SsaD71	SsaD85	SsaD144	Ssosl417	Sssp2210	Sssp2215	Sssp2216	SsspG7	u3	D486	D58	2201	overall
ar	7.64263935565702	9.86596215103592	9.49816276764395	11.7077200068217	12.341089680616	11.4727356671011	7.80544716120519	5.29649235762162	8.20237401248354	9.72814308789108	9.29147603491041	4.44119397478929	0	1.95717171717172	0	7.283
size	50	48	48	50	50	50	48	49	50	50	49	45	50	50	48	49
obs_het	0.8	0.895833333333333	0.875	0.92	0.92	0.94	0.875	0.693877551020408	0.88	0.84	0.877551020408163	0.666666666666667	0.7	0.98	0.916666666666667	0.852
exp_het	0.838	0.910373263888889	0.893663194444444	0.9326	0.9408	0.9258	0.857204861111111	0.698875468554769	0.8726	0.8888	0.897334443981674	0.725432098765432	0.7534	0.9476	0.931640625	0.868
uexp_het	0.846	0.92	0.903	0.942	0.95	0.935	0.866	0.706	0.881	0.898	0.907	0.734	0.761	0.957	0.941	0.876
fis	0.045346062052506	0.0159713945172825	0.0208839242350656	0.0135106154835942	0.0221088435374149	-0.0153380859796932	-0.0207594936708861	0.00715137067938032	-0.00848040339216127	0.054905490549055	0.0220468786261313	0.0810074880871342	0.0708786833023626	-0.0341916420430561	0.016072676450035	0.019
hwe_glb	0.0679067906790679	0.358735873587359	0.0029002900290029	0.897689768976898	0.251825182518252	0.285828582858286	0.654265426542654	0.887588758875888	0.0368036803680368	0.0044004400440044	0.4997499749975	0.0364508596119475	0.106910691069107	0.448244824482448	0.178217821782178	0.001
hwe_hom	NA	0.645064506450645	NA	0.673267326732673	NA	0.317831783178318	0.229322932293229	NA	0.603560356035604	NA	0.584258425842584	NA	NA	0.302330233023302	NA	0.999
hwe_het	0.0811081108110811	NA	0.318531853185319	NA	0.108510851085109	NA	NA	0.214721472147215	NA	0.0146014601460146	NA	0.216502489138071	0.0976097609760976	NA	0.182718271827183	0.265

QC-BO-01
stat	Ssa85	Ssa197	Ssa202	SsaD71	SsaD85	SsaD144	Ssosl417	Sssp2210	Sssp2215	Sssp2216	SsspG7	u3	D486	D58	2201	overall
ar	6.17438970774586	7.84558803063278	9.90536089723781	12.4279421911027	12.1875563630416	11.6569903729876	7.53838421640062	4.92013452791326	7.18917613407892	10.7476625367025	9.52646539552707	5.4270116975938	0	1.95175438596491	0	7.167
size	44	48	45	50	48	46	48	50	45	45	49	45	50	48	41	46.8
obs_het	0.818181818181818	0.8125	0.888888888888889	0.94	0.9375	0.891304347826087	0.8125	0.86	0.888888888888889	0.955555555555556	0.938775510204082	0.8	0.64	0.895833333333333	0.902439024390244	0.865
exp_het	0.753357438016529	0.869574652777778	0.903703703703704	0.942	0.939019097222222	0.931238185255199	0.844184027777778	0.7388	0.828148148148148	0.918024691358025	0.903581840899625	0.750864197530864	0.6166	0.941840277777778	0.947947650208209	0.855
uexp_het	0.762	0.879	0.914	0.952	0.949	0.941	0.853	0.746	0.837	0.928	0.913	0.759	0.623	0.952	0.96	0.865
fis	-0.0860473088789855	0.0656351385076117	0.0163934426229508	0.0021231422505309	0.00161774901779521	0.0428825171276327	0.0375321336760925	-0.164049810503519	-0.0733452593917709	-0.0408821947283486	-0.0389490666052086	-0.0654390003288392	-0.0379500486539084	0.0488479262672811	0.0480075305930342	-0.016
hwe_glb	0.0732073207320732	0.0521052105210521	0.401640164016402	0.246524652465247	0.436943694369437	0.063006300630063	0.411341134113411	0.418941894189419	0.714471447144714	0.180718071807181	0.772577257725773	0.837783778377838	0.247497456239532	0.414241424142414	0.151415141514151	0.11
hwe_hom	0.637263726372637	NA	NA	NA	0.675367536753675	NA	NA	0.0285028502850285	0.148314831483148	0.483948394839484	0.27022702270227	NA	0.351023538277134	NA	NA	0.944
hwe_het	NA	0.210621062106211	0.291429142914291	0.180718071807181	NA	0.024002400240024	0.280828082808281	NA	NA	NA	NA	0.244524452445245	NA	0.0441044104410441	0.0172017201720172	0.202

QC-CAU-10
stat	Ssa85	Ssa197	Ssa202	SsaD71	SsaD85	SsaD144	Ssosl417	Sssp2210	Sssp2215	Sssp2216	SsspG7	u3	D486	D58	2201	overall
ar	5.77773627144014	7.88552460881501	8.92813376284788	11.0699881677246	10.896492141806	10.3492438378426	8.01468141387918	4.64212917619449	7.23704151294051	9.28223437188318	9.777313056948	5.73370662304609	0	1.94761203450452	0	6.769
size	46	49	47	47	48	47	48	48	49	49	47	42	49	49	47	47.467
obs_het	0.695652173913043	0.897959183673469	0.872340425531915	0.978723404255319	0.958333333333333	0.914893617021277	0.854166666666667	0.791666666666667	0.918367346938776	0.877551020408163	0.872340425531915	0.642857142857143	0.591836734693878	0.959183673469388	0.936170212765957	0.851
exp_het	0.736294896030246	0.848604748021658	0.884336803983703	0.922815753734722	0.923611111111111	0.90493435943866	0.832248263888889	0.71484375	0.834443981674302	0.883590170762182	0.898596650067904	0.730725623582766	0.729071220324865	0.937942523948355	0.942055228610231	0.848
uexp_het	0.744	0.857	0.894	0.933	0.933	0.915	0.841	0.722	0.843	0.893	0.908	0.74	0.737	0.948	0.952	0.857
fis	0.0551989730423621	-0.0581595092024541	0.0135653954440748	-0.0605837625705175	-0.0375939849624061	-0.0110055027513756	-0.0263363754889179	-0.107468123861566	-0.100573995507861	0.00683478670751825	0.0292191435768261	0.120248254460822	0.188231933733219	-0.022646536412078	0.00624699663623252	0
hwe_glb	0.774577457745775	0.142014201420142	0.661466146614662	0.108910891089109	0.582058205820582	0.913591359135914	0.997299729972997	0.655665566556656	0.16981698169817	0.201320132013201	0.0167016701670167	0.122212221222122	0.511751175117512	0.450745074507451	0.747274727472747	0.263
hwe_hom	0.616661666166617	0.166316631663166	0.597959795979598	0.193319331933193	0.181218121812181	0.475547554755476	0.407840784078408	0.0663066306630663	0.0535053505350535	NA	NA	NA	NA	0.431243124312431	0.600660066006601	0.489
hwe_het	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.125212521252125	0.0031003100310031	0.288728872887289	0.0221022102210221	NA	NA	0.684

QC-CC-10
stat	Ssa85	Ssa197	Ssa202	SsaD71	SsaD85	SsaD144	Ssosl417	Sssp2210	Sssp2215	Sssp2216	SsspG7	u3	D486	D58	2201	overall
ar	6.45317193399727	9.44756163247608	10.6719306737523	12.7972870325448	12.6186219766555	10.8084257921091	9.81135581738605	5.41607461168767	9.40019131471416	10.0889131703652	9.56587050760421	5.16549354723367	0	1.94856361149111	0	7.613
size	43	43	43	42	43	43	43	43	43	43	41	43	43	43	43	42.8
obs_het	0.790697674418605	0.930232558139535	0.837209302325581	1	0.976744186046512	0.813953488372093	0.953488372093023	0.744186046511628	0.906976744186046	0.883720930232558	0.926829268292683	0.651162790697674	0.651162790697674	0.930232558139535	1	0.866
exp_het	0.788534342888048	0.896160086533261	0.917252568956193	0.946145124716553	0.942401297998918	0.917522985397512	0.904813412655489	0.725256895619254	0.895619253650622	0.910492157923202	0.899464604402142	0.708761492698756	0.674689021092483	0.937533802055165	0.942942130881558	0.867
uexp_het	0.798	0.907	0.928	0.958	0.953	0.928	0.915	0.734	0.906	0.921	0.911	0.717	0.683	0.949	0.954	0.877
fis	-0.00274348422496562	-0.0380205190102594	0.0872641509433962	-0.0569203115638106	-0.036441893830703	0.112879457707044	-0.0537955768081291	-0.0260999254287844	-0.0126811594202898	0.0294030294030294	-0.0304232804232805	0.081266692102251	0.034869739478958	0.00778771271993073	-0.0605104674505306	0.002
hwe_glb	0.963896389638964	0.0254025402540254	0.13031303130313	0.182518251825183	0.309230923092309	0.167516751675168	0.934593459345935	0.66006600660066	0.657965796579658	0.949094909490949	0.568456845684568	0.512951295129513	0.34510893170387	0.709270927092709	0.82958295829583	0.55
hwe_hom	0.494649464946495	0.267426742674267	NA	0.166316631663166	0.263826382638264	NA	0.216621662166217	0.451845184518452	NA	NA	0.287128712871287	0.662666266626663	NA	NA	0.122812281228123	0.837
hwe_het	NA	NA	0.0002000200020002	NA	NA	0.0084008400840084	NA	NA	0.243324332433243	0.311031103110311	NA	NA	0.0640023703137683	0.252125212521252	NA	0.105

QC-CH-01
stat	Ssa85	Ssa197	Ssa202	SsaD71	SsaD85	SsaD144	Ssosl417	Sssp2210	Sssp2215	Sssp2216	SsspG7	u3	D486	D58	2201	overall
ar	5.9222777384093	6.85626431963704	7.93348496198009	11.667696304531	11.8450101153513	12.1595201377693	5.3107615947854	5.27180561993622	7.28671584909374	10.9023068360173	8.26432668432947	4.52331850972673	0	1.93333333333333	0	6.658
size	45	44	43	43	44	44	44	44	45	45	43	46	46	45	46	44.467
obs_het	0.6	0.772727272727273	0.86046511627907	0.906976744186046	0.863636363636364	0.931818181818182	0.75	0.681818181818182	0.888888888888889	0.888888888888889	0.86046511627907	0.608695652173913	0.760869565217391	0.911111111111111	0.956521739130435	0.816
exp_het	0.693086419753087	0.77995867768595	0.853975121687399	0.930232558139535	0.932851239669422	0.939824380165289	0.771952479338843	0.788481404958678	0.854567901234568	0.915802469135802	0.858301784748513	0.594517958412098	0.673913043478261	0.922962962962963	0.950850661625709	0.831
uexp_het	0.701	0.789	0.864	0.941	0.944	0.951	0.781	0.798	0.864	0.926	0.868	0.601	0.681	0.933	0.961	0.84
fis	0.134307089419309	0.00927152317880797	-0.00759974667511076	0.025	0.0741971207087486	0.00851882385270686	0.0284376045500168	0.135276776940714	-0.0401618029471249	0.0293879751954705	-0.00252047889098916	-0.0238473767885532	-0.129032258064516	0.0128410914927769	-0.00596421471172959	0.017
hwe_glb	0.356235623562356	0.29012901290129	0.306630663066307	0.436843684368437	0.601360136013601	0.137913791379138	0.608060806080608	0.714771477147715	0.492649264926493	0.0511051105110511	0.691069106910691	0.503401430926608	0.310668179120736	0.338333833383338	0.484848484848485	0.434
hwe_hom	NA	0.511851185118512	NA	NA	NA	NA	NA	NA	0.225422542254225	NA	0.641564156415642	0.650896228434952	0.245714575846173	NA	0.618461846184618	1
hwe_het	0.147714771477148	NA	0.088008800880088	0.17981798179818	0.0066006600660066	0.168916891689169	0.323832383238324	0.0276027602760276	NA	0.276427642764276	NA	NA	NA	0.127612761276128	NA	0.074

QC-COR-01
stat	Ssa85	Ssa197	Ssa202	SsaD71	SsaD85	SsaD144	Ssosl417	Sssp2210	Sssp2215	Sssp2216	SsspG7	u3	D486	D58	2201	overall
ar	6.68508285955944	6.33784438410114	8.12902699322368	11.8849053298404	10.4200256848499	10.8569563014822	6.4394712780278	4.24771651097729	6.01132905272872	7.21269690199284	5.73937827252296	4.53095249043406	0	1.91330532212885	0	6.027
size	54	58	54	56	59	58	59	59	60	60	57	60	60	60	59	58.2
obs_het	0.722222222222222	0.827586206896552	0.851851851851852	0.964285714285714	0.949152542372881	0.896551724137931	0.76271186440678	0.694915254237288	0.733333333333333	0.866666666666667	0.807017543859649	0.65	0.65	0.933333333333333	0.966101694915254	0.818
exp_het	0.797496570644719	0.815695600475624	0.867455418381344	0.9375	0.917552427463373	0.918697978596908	0.776644642344154	0.656276931916116	0.775694444444444	0.830555555555555	0.739919975377039	0.720972222222222	0.705694444444444	0.905694444444444	0.925883366848607	0.819
uexp_het	0.805	0.823	0.876	0.946	0.925	0.927	0.783	0.662	0.782	0.838	0.746	0.727	0.712	0.913	0.934	0.827
fis	0.0943883035906257	-0.0145772594752187	0.01798774461356	-0.0285714285714287	-0.0344395742016281	0.0241061316939006	0.0179397077862031	-0.0588750273582841	0.0546105640107432	-0.0434782608695654	-0.0906821963394342	0.0984396070121363	0.0789214721511513	-0.0305167919030824	-0.0434377908780639	0.003
hwe_glb	0.18031803180318	0.0611061106110611	0.405340534053405	0.362936293629363	0.843884388438844	0.887588758875888	0.385438543854385	0.695369536953695	0.901490149014902	0.504750475047505	0.84958495849585	0.077007700770077	0.596959695969597	0.855785578557856	0.0134013401340134	0.32
hwe_hom	NA	NA	0.485648564856486	0.234023402340234	0.186918691869187	NA	0.5003500350035	0.28972897289729	NA	0.391639163916392	0.484148414841484	NA	NA	0.157215721572157	0.132013201320132	0.83
hwe_het	0.0142014201420142	0.0265026502650265	NA	NA	NA	0.0085008500850085	NA	NA	0.226322632263226	NA	NA	0.211221122112211	0.203220322032203	NA	NA	0.258

QC-CS-01
stat	Ssa85	Ssa197	Ssa202	SsaD71	SsaD85	SsaD144	Ssosl417	Sssp2210	Sssp2215	Sssp2216	SsspG7	u3	D486	D58	2201	overall
ar	6.53785792963398	7.21789218910381	10.2384195897874	11.6217049838249	10.718969425396	11.8224986568947	8.15768088219847	5.18626264401057	7.20829212872208	10.6075833334292	9.46563047659868	5.24203168876436	0	1.93894736842105	0	7.064
size	33	38	38	38	38	38	38	38	38	38	38	38	38	38	38	37.667
obs_het	0.696969696969697	0.789473684210526	0.868421052631579	0.973684210526316	0.921052631578947	0.921052631578947	0.842105263157895	0.657894736842105	0.894736842105263	0.921052631578947	0.815789473684211	0.710526315789474	0.763157894736842	1	0.921052631578947	0.846
exp_het	0.753443526170799	0.849376731301939	0.909279778393352	0.93213296398892	0.912049861495845	0.933518005540166	0.864958448753463	0.71398891966759	0.820983379501385	0.912049861495845	0.894736842105263	0.736149584487535	0.749307479224377	0.926592797783934	0.941481994459834	0.857
uexp_het	0.765	0.861	0.921	0.945	0.924	0.946	0.876	0.724	0.832	0.924	0.907	0.746	0.759	0.939	0.954	0.868
fis	0.0749542961608775	0.0705258866693844	0.044935262757045	-0.0445765230312036	-0.00987091875474566	0.0133531157270029	0.0264211369095277	0.078564500484966	-0.0898355124420076	-0.00987091875474566	0.0882352941176471	0.0348071495766697	-0.0184842883548983	-0.0792227204783258	0.0216991541007724	0.013
hwe_glb	0.723472347234723	0.897589758975898	0.294829482948295	0.951995199519952	0.869286928692869	0.803080308030803	0.64996499649965	0.822182218221822	0.728972897289729	0.340834083408341	0.0571057105710571	0.1003100310031	0.0724072407240724	0.0073007300730073	0.304330433043304	0.21
hwe_hom	NA	NA	NA	0.178817881788179	0.615961596159616	NA	NA	NA	0.177317731773177	NA	NA	NA	NA	0.0832083208320832	NA	0.997
hwe_het	0.0592059205920592	0.16981698169817	0.137313731373137	NA	NA	0.207020702070207	0.167116711671167	0.0208020802080208	NA	0.121912191219122	0.0645064506450645	0.0512051205120512	0.324532453245325	NA	0.0826082608260826	0.011

QC-DA-01
stat	Ssa85	Ssa197	Ssa202	SsaD71	SsaD85	SsaD144	Ssosl417	Sssp2210	Sssp2215	Sssp2216	SsspG7	u3	D486	D58	2201	overall
ar	6.06320337338594	8.22053821479137	10.0407204497577	13.1578884139082	11.1113708285472	11.0751006387192	8.24202270283118	4.46752589728387	7.79498911033358	10.1887382851047	9.30820975486651	5.17516299078015	0	1.94484848484849	0	7.119
size	50	48	48	49	49	49	48	50	50	50	49	48	50	50	48	49.067
obs_het	0.8	0.875	0.916666666666667	0.918367346938776	0.918367346938776	0.877551020408163	0.9375	0.74	0.84	0.96	0.938775510204082	0.708333333333333	0.64	0.94	0.916666666666667	0.862
exp_het	0.7404	0.857638888888889	0.90625	0.950229071220325	0.919408579758434	0.925447730112453	0.861111111111111	0.7496	0.8604	0.9116	0.90045814244065	0.677734375	0.5892	0.9354	0.939887152777778	0.848
uexp_het	0.748	0.867	0.916	0.96	0.929	0.935	0.87	0.757	0.869	0.921	0.91	0.685	0.595	0.945	0.95	0.857
fis	-0.0804970286331714	-0.0202429149797572	-0.0114942528735631	0.0335305719921104	0.00113250283125699	0.0517551755175517	-0.0887096774193548	0.0128068303094985	0.0237099023709904	-0.0530934620447565	-0.0425531914893618	-0.0451488952929875	-0.0862186014935504	-0.00491768227496259	0.0247056107134611	-0.019
hwe_glb	0.726372637263726	0.71017101710171	0.922492249224922	0.628562856285629	0.891589158915892	0.303030303030303	0.550755075507551	0.809180918091809	0.773377337733773	0.870787078707871	0.346434643464346	0.902390239023902	0.339292326884367	0.743874387438744	0.203120312031203	0.985
hwe_hom	0.223622362236224	0.324632463246325	0.465346534653465	NA	0.351635163516352	NA	0.0295029502950295	0.546454645464546	NA	0.166916691669167	0.415941594159416	0.433143314331433	0.260492656454652	0.404840484048405	NA	0.537
hwe_het	NA	NA	NA	0.0722072207220722	NA	0.166516651665167	NA	NA	0.0754075407540754	NA	NA	NA	NA	NA	0.16971697169717	0.965

QC-DG-01
stat	Ssa85	Ssa197	Ssa202	SsaD71	SsaD85	SsaD144	Ssosl417	Sssp2210	Sssp2215	Sssp2216	SsspG7	u3	D486	D58	2201	overall
ar	6.09765153784512	8.21740518808372	8.36294889085806	11.0038173680398	11.1804161510232	9.77064556548289	6.52176381007052	4.22340169196272	8.04369027913208	9.90489698721227	8.11738918069098	4.09041784863109	0	1.90833333333333	0	6.496
size	46	45	47	46	48	48	46	46	45	48	46	46	48	48	47	46.667
obs_het	0.717391304347826	0.822222222222222	0.872340425531915	0.891304347826087	0.875	0.875	0.717391304347826	0.695652173913043	0.822222222222222	0.9375	0.869565217391304	0.652173913043478	0.75	0.875	0.957446808510638	0.822
exp_het	0.784026465028355	0.861728395061728	0.882299683114531	0.9132797731569	0.915798611111111	0.893446180555556	0.811200378071834	0.670368620037807	0.869382716049383	0.905164930555556	0.840264650283554	0.571361058601134	0.784505208333333	0.898871527777778	0.925531914893617	0.835
uexp_het	0.793	0.871	0.892	0.923	0.925	0.903	0.82	0.678	0.879	0.915	0.849	0.578	0.793	0.908	0.935	0.844
fis	0.08499095840868	0.0458452722063037	0.0112878399179066	0.0240620957309186	0.0445497630331754	0.0206461015302405	0.115642295368482	-0.0377158970743743	0.0542459528543029	-0.0357228482378327	-0.0348706411698536	-0.141439205955335	0.0439834024896265	0.0265572187349107	-0.0344827586206897	0.013
hwe_glb	0.708670867086709	0.201920192019202	0.600860086008601	0.58975897589759	0.0307030703070307	0.0152015201520152	0.486148614861486	0.278012422340471	0.147514751475148	0.236023602360236	0.300630063006301	0.443048569854874	0.274627462746275	0.571957195719572	0.302830283028303	0.07
hwe_hom	NA	NA	NA	0.625662566256626	NA	NA	NA	NA	NA	0.277627762776278	0.605760576057606	0.0402185962454668	NA	NA	0.218121812181218	0.994
hwe_het	0.116311631163116	0.0843084308430843	0.243524352435244	NA	0.09000900090009	0.162016201620162	0.148914891489149	0.0225206599512291	0.0103010301030103	NA	NA	NA	0.0511051105110511	0.214721472147215	NA	0.012

QC-TRI-01
stat	Ssa85	Ssa197	Ssa202	SsaD71	SsaD85	SsaD144	Ssosl417	Sssp2210	Sssp2215	Sssp2216	SsspG7	u3	D486	D58	2201	overall
ar	7.15964762232156	8.36618691574013	8.99502670532086	11.4491385066984	11.4824030473516	12.3510623610562	6.5852033832457	4.42404273281072	7.11537671015773	9.14485697672826	8.2033389710015	3.63626617383832	0	1.94172101830423	0	6.724
size	49	48	46	50	47	49	48	50	48	48	48	49	49	49	37	47.667
obs_het	0.857142857142857	0.854166666666667	0.869565217391304	0.92	0.893617021276596	0.857142857142857	0.791666666666667	0.62	0.854166666666667	0.916666666666667	0.75	0.693877551020408	0.714285714285714	0.938775510204082	0.891891891891892	0.828
exp_het	0.806122448979592	0.876302083333333	0.888468809073724	0.9252	0.931643277501132	0.939400249895877	0.779947916666667	0.6592	0.829644097222222	0.8828125	0.878255208333333	0.665347771761766	0.689712619741774	0.932111620158267	0.921110299488678	0.84
uexp_het	0.814	0.886	0.898	0.935	0.942	0.949	0.788	0.666	0.838	0.892	0.888	0.672	0.697	0.942	0.934	0.849
fis	-0.0632911392405062	0.0252600297176822	0.0212765957446809	0.0056204063986165	0.0408163265306123	0.0875637330968744	-0.015025041736227	0.0594660194174758	-0.029557938791525	-0.0383480825958702	0.146034099332839	-0.0428794992175274	-0.0356280193236715	-0.0071492403932083	0.0317208564631245	0.012
hwe_glb	0.385038503850385	0.813681368136814	0.0613061306130613	0.617761776177618	0.147314731473147	0.177617761776178	0.0336033603360336	0.245952163535849	0.231923192319232	0.647164716471647	0.861286128612861	0.450666565911139	0.673701583692294	0.782278227822782	0.354335433543354	0.25
hwe_hom	0.26982698269827	NA	NA	NA	NA	NA	0.312831283128313	NA	0.632663266326633	0.166516651665167	NA	0.267051606901063	0.324810453220854	0.694469446944694	0.270827082708271	0.964
hwe_het	NA	0.17981798179818	0.0451045104510451	0.264926492649265	0.240824082408241	0.0005000500050005	NA	0.113237647078091	NA	NA	0.0131013101310131	NA	NA	NA	NA	0.054

QC-EAG-01
stat	Ssa85	Ssa197	Ssa202	SsaD71	SsaD85	SsaD144	Ssosl417	Sssp2210	Sssp2215	Sssp2216	SsspG7	u3	D486	D58	2201	overall
ar	7.59149765387478	8.78572203123637	9.57759991181384	11.5801309061932	11.1179239890407	13.1363797408556	4.87913315474688	5.07552938219872	7.83281657445306	9.5836580286735	9.07105371944151	4.57551326258794	0	1.95932308647726	0	6.984
size	54	55	56	53	52	56	53	55	56	57	52	48	56	57	57	54.467
obs_het	0.740740740740741	0.890909090909091	0.946428571428571	0.849056603773585	0.903846153846154	0.910714285714286	0.584905660377358	0.818181818181818	0.910714285714286	0.947368421052632	0.788461538461538	0.604166666666667	0.678571428571429	0.964912280701754	0.929824561403509	0.831
exp_het	0.824417009602195	0.886776859504132	0.901466836734694	0.934674261302955	0.924926035502959	0.951849489795918	0.720541117835529	0.723305785123967	0.871332908163265	0.897045244690674	0.888868343195266	0.628472222222222	0.708227040816326	0.950907971683595	0.956294244382887	0.851
uexp_het	0.832	0.895	0.91	0.944	0.934	0.96	0.727	0.73	0.879	0.905	0.897	0.635	0.715	0.959	0.965	0.859
fis	0.101497504159734	-0.00465983224603916	-0.0498761938450654	0.0916015996952961	0.0227908836465414	0.04321608040201	0.188241106719368	-0.131170018281536	-0.0451967063129004	-0.0560988162635101	0.112960266278344	0.0386740331491715	0.0418730301665915	-0.0147273021524519	0.0276794335371741	0.024
