"","River","Latitude_rounded","Longitude_rounded","pastTemp","FutTemp","CurTemp","Latitude","Longitude"
"48","Red wine",53.75,-60.75,-1.04139642,0.7,-1.8,53.93,-61
"49","River Of Ponds",50.75,-56.75,3.63618148,4.7,2.5,50.54,-57.39
"50","Rocky River",47.75,-52.75,7.00556429,6.6,5,47.22,-53.57
"51","Roses Feeder",51.75,-55.75,3.74642781,3.4,1.4,51.13,-56.62
"52","Salmon River (Gander)",48.75,-53.75,6.1326389,6.4,4.5,49,-54.87
"53","Salmonier River",47.75,-52.75,7.00556429,6.3,4.7,47.18,-53.4
"54","Sand Hill",53.75,-55.75,3.33454311,1.7,-0.2,53.57,-56.35
"55","Simms Brook Fortune Bay",47.75,-52.75,7.00556429,6.5,4.9,47.65,-55.48
"56","Soulis Brook",48.75,-53.75,6.1326389,6.2,4.4,48.89,-54.45
"57","Southeast River",47.75,-52.75,7.00556429,6.7,5,47.22,-53.91
"58","Southwest Brook",47.75,-54.75,6.55067163,6.1,4.3,47.89,-55.42
"59","Southwest Brook Milltown",47.75,-54.75,6.55067163,6.2,4.4,47.92,-55.74
"60","St. Genevieve",51.75,-55.75,3.74642781,3.6,1.5,51.14,-56.8
"61","St. Mary's",52.75,-54.75,4.16897899,2.3,0.3,52.3,-55.85
"62","St. Shott’s River",46.75,-52.75,7.73086314,6.4,4.9,46.65,-53.58
"63","Stoney Brook",46.75,-52.75,7.73086314,6.1,4.6,46.74,-53.32
"64","Taylors Brook",49.75,-56.75,4.05797564,4.9,2.8,49.55,-57.1
"65","Terra Nova",48.75,-53.75,6.1326389,6.4,4.7,48.67,-54
"66","Western Arm",51.75,-55.75,3.74642781,3.7,1.6,51.19,-56.76
"67","White Bear River",47.75,-56.75,6.26199727,5.5,3.7,47.78,-57.27
