Locus Pairwise estimates

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008

gst

Loci	QC-JC-01,  vs  QC-MIT-01,	QC-JC-01,  vs  GU-TB-01,	QC-JC-01,  vs  NS-COU00X1,	QC-JC-01,  vs  NL-SGR-3350,	QC-JC-01,  vs  QC-MUQ-01,	QC-JC-01,  vs  NS-ROH00X1,	QC-JC-01,  vs  NL-NBT-5500,	QC-JC-01,  vs  US-NA11476,	QC-MIT-01,  vs  GU-TB-01,	QC-MIT-01,  vs  NS-COU00X1,	QC-MIT-01,  vs  NL-SGR-3350,	QC-MIT-01,  vs  QC-MUQ-01,	QC-MIT-01,  vs  NS-ROH00X1,	QC-MIT-01,  vs  NL-NBT-5500,	QC-MIT-01,  vs  US-NA11476,	GU-TB-01,  vs  NS-COU00X1,	GU-TB-01,  vs  NL-SGR-3350,	GU-TB-01,  vs  QC-MUQ-01,	GU-TB-01,  vs  NS-ROH00X1,	GU-TB-01,  vs  NL-NBT-5500,	GU-TB-01,  vs  US-NA11476,	NS-COU00X1,  vs  NL-SGR-3350,	NS-COU00X1,  vs  QC-MUQ-01,	NS-COU00X1,  vs  NS-ROH00X1,	NS-COU00X1,  vs  NL-NBT-5500,	NS-COU00X1,  vs  US-NA11476,	NL-SGR-3350,  vs  QC-MUQ-01,	NL-SGR-3350,  vs  NS-ROH00X1,	NL-SGR-3350,  vs  NL-NBT-5500,	NL-SGR-3350,  vs  US-NA11476,	QC-MUQ-01,  vs  NS-ROH00X1,	QC-MUQ-01,  vs  NL-NBT-5500,	QC-MUQ-01,  vs  US-NA11476,	NS-ROH00X1,  vs  NL-NBT-5500,	NS-ROH00X1,  vs  US-NA11476,	NL-NBT-5500,  vs  US-NA11476,
SsspG7	0.0021	0.0028	0.0062	0.013	0.0061	0.0039	0.0197	0.0116	3e-04	0.0029	0.0052	0.0035	0.0015	0.0091	0.0077	0.0021	0.0045	0.0039	0.002	0.0085	0.0078	0.0027	0.0066	0.0027	0.0097	0.0056	0.0063	0.005	0.0031	0.0088	0.0044	0.0099	0.0133	0.011	0.0062	0.0155
u3	0.0071	0.0214	0.0033	0.0021	0.0252	0.0423	0.0043	0.0291	0.0112	0.0068	0.0103	0.0518	0.0396	0.01	0.0097	0.0126	0.0295	0.0877	0.013	0.0161	0.0101	0.0042	0.0357	0.0257	0.002	0.0253	0.0171	0.0501	0.0062	0.038	0.1086	0.0358	0.1003	0.0288	0.0444	0.0295
D486	0.0255	0.03	0.0242	0.0506	0.005	0.0362	0.0638	0.0646	0.0013	0.0017	0.0053	0.0267	0.0032	0.0096	0.0515	0.0035	0.0058	0.0313	0.0044	0.0086	0.0597	0.0063	0.0284	0.0033	0.0151	0.0363	0.0551	0.0069	0.0041	0.0549	0.0367	0.0612	0.0817	0.0123	0.042	0.085
D58	0.001	7e-04	0.0015	0.0033	7e-04	0.0046	0.0051	0.0039	0.0012	3e-04	0.0016	5e-04	0.0065	0.0035	0.0055	0.002	0.0034	0.0012	0.0047	0.0062	0.0053	0.0011	5e-04	0.0078	0.0032	0.0063	0.0015	0.0094	0.0051	0.0092	0.0065	0.0035	0.005	0.0127	0.0084	0.0084
2201	0.0016	6e-04	0.0014	0.003	6e-04	0.006	0.0031	0.012	0.001	8e-04	0.0013	9e-04	0.0024	0.0034	0.0092	8e-04	0.0023	8e-04	0.0041	0.0024	0.0124	6e-04	8e-04	0.0032	0.0024	0.0109	0.0014	0.0021	0.0044	0.0096	0.0043	0.003	0.0111	0.007	0.0119	0.0169

Gst

Loci	QC-JC-01,  vs  QC-MIT-01,	QC-JC-01,  vs  GU-TB-01,	QC-JC-01,  vs  NS-COU00X1,	QC-JC-01,  vs  NL-SGR-3350,	QC-JC-01,  vs  QC-MUQ-01,	QC-JC-01,  vs  NS-ROH00X1,	QC-JC-01,  vs  NL-NBT-5500,	QC-JC-01,  vs  US-NA11476,	QC-MIT-01,  vs  GU-TB-01,	QC-MIT-01,  vs  NS-COU00X1,	QC-MIT-01,  vs  NL-SGR-3350,	QC-MIT-01,  vs  QC-MUQ-01,	QC-MIT-01,  vs  NS-ROH00X1,	QC-MIT-01,  vs  NL-NBT-5500,	QC-MIT-01,  vs  US-NA11476,	GU-TB-01,  vs  NS-COU00X1,	GU-TB-01,  vs  NL-SGR-3350,	GU-TB-01,  vs  QC-MUQ-01,	GU-TB-01,  vs  NS-ROH00X1,	GU-TB-01,  vs  NL-NBT-5500,	GU-TB-01,  vs  US-NA11476,	NS-COU00X1,  vs  NL-SGR-3350,	NS-COU00X1,  vs  QC-MUQ-01,	NS-COU00X1,  vs  NS-ROH00X1,	NS-COU00X1,  vs  NL-NBT-5500,	NS-COU00X1,  vs  US-NA11476,	NL-SGR-3350,  vs  QC-MUQ-01,	NL-SGR-3350,  vs  NS-ROH00X1,	NL-SGR-3350,  vs  NL-NBT-5500,	NL-SGR-3350,  vs  US-NA11476,	QC-MUQ-01,  vs  NS-ROH00X1,	QC-MUQ-01,  vs  NL-NBT-5500,	QC-MUQ-01,  vs  US-NA11476,	NS-ROH00X1,  vs  NL-NBT-5500,	NS-ROH00X1,  vs  US-NA11476,	NL-NBT-5500,  vs  US-NA11476,
Ssa85	0.0357	0.041	0.065	0.0539	0.032	0.0451	0.2522	0.1976	0.0089	0.0562	0.0709	0.0478	0.0352	0.2007	0.1682	0.0611	0.065	0.063	0.0445	0.2434	0.1184	0.0128	0.0674	0.104	0.1734	0.1135	0.0509	0.1022	0.2239	0.0895	0.0686	0.23	0.2182	0.1736	0.1822	0.3449
Ssa197	0.0426	0.02	0.0377	0.0425	0.0441	0.0475	0.1309	0.1395	0.0494	0.0343	0.0352	0.0156	0.0392	0.106	0.1924	0.0294	0.0295	0.0324	0.0412	0.0844	0.1768	0.006	0.0179	0.017	0.0952	0.1481	0.0286	0.0293	0.1118	0.2005	0.0192	0.0627	0.1528	0.0654	0.1385	0.2411
Ssa202	0.0594	0.0737	0.0347	0.0352	0.1243	0.1028	0.1076	0.1287	0.077	0.055	0.0495	0.0947	0.0877	0.1018	0.2018	0.0821	0.1002	0.0458	0.1006	0.0861	0.1096	0.0076	0.1218	0.0872	0.0695	0.1462	0.1319	0.0754	0.0799	0.1756	0.1256	0.138	0.1665	0.14	0.1142	0.1349
SsaD71	0.0296	0.0422	0.0309	0.0433	0.0107	0.1066	0.0983	0.1982	0.0372	0.0347	0.0356	0.0365	0.1389	0.1008	0.1668	0.0184	0.0253	0.0488	0.1356	0.1121	0.1559	-5e-04	0.0271	0.1343	0.103	0.1686	0.0467	0.1526	0.1094	0.1846	0.1146	0.0941	0.2002	0.2267	0.3256	0.1209
SsaD85	0.0243	0.0744	0.0205	0.0397	0.0862	0.0779	0.0352	0.1968	0.0797	0.0306	0.0388	0.0552	0.1059	0.0956	0.1501	0.0259	0.0552	0.1984	0.1293	0.1059	0.1947	0.0233	0.1113	0.0944	0.0641	0.185	0.1372	0.0597	0.0745	0.1815	0.2214	0.183	0.2351	0.0971	0.2996	0.2684
SsaD144	0.0204	0.041	0.0556	0.0762	0.0542	0.2379	0.1908	0.1651	0.0436	0.0516	0.0777	0.0204	0.248	0.172	0.1372	0.0478	0.0997	0.051	0.1885	0.1506	0.2234	0.0397	0.0339	0.1566	0.1214	0.2439	0.058	0.2554	0.1762	0.2562	0.2194	0.1412	0.1958	0.3012	0.3462	0.3611
Ssosl417	0.1723	0.2729	0.0728	0.1384	0.1108	0.5376	0.1498	0.1813	0.0591	0.1305	0.1122	0.299	0.3028	0.2558	0.3201	0.1453	0.0961	0.3525	0.1618	0.3072	0.4297	0.0657	0.1803	0.348	0.2332	0.2324	0.1477	0.2006	0.2769	0.2895	0.5086	0.3313	0.3641	0.5872	0.546	0.2715
Sssp2210	0.0754	0.0883	0.1111	0.1175	0.1451	0.0733	0.0615	0.1488	0.1156	0.0854	0.0623	0.1233	0.128	0.046	0.1509	0.0307	0.0871	0.2075	0.1297	0.1155	0.0159	0.0281	0.1115	0.0923	0.0627	0.0235	0.0562	0.1173	0.0211	0.0936	0.0756	0.0316	0.2166	0.0747	0.1533	0.143
Sssp2215	0.0556	0.0358	0.0244	0.0166	0.0322	0.0364	0.0682	0.0801	0.021	0.0233	0.0441	0.0672	0.0513	0.0952	0.057	0.0156	0.0332	0.0616	0.0153	0.0897	0.043	0.0035	0.0334	0.0135	0.0441	0.0777	0.0223	0.0222	0.0409	0.1104	0.0553	0.0497	0.1516	0.0575	0.0575	0.1324
Sssp2216	0.116	0.0908	0.1457	0.2014	0.1851	0.0976	0.3291	0.166	0.0677	0.0664	0.1335	0.1107	0.1274	0.1709	0.2892	0.1299	0.2164	0.139	0.1379	0.316	0.2106	0.0338	0.0336	0.1474	0.1424	0.2935	0.0646	0.2223	0.0995	0.3435	0.1731	0.1825	0.2907	0.246	0.1425	0.4703
SsspG7	0.045	0.0588	0.1259	0.2593	0.1283	0.0797	0.3362	0.2116	0.0063	0.0625	0.1084	0.0764	0.0323	0.1616	0.1463	0.0444	0.0932	0.0847	0.0418	0.1493	0.1466	0.0543	0.1377	0.055	0.1658	0.1027	0.129	0.1013	0.0526	0.1574	0.0927	0.1719	0.2483	0.1906	0.1153	0.2402
u3	0.0457	0.1192	0.0228	0.0145	0.1508	0.2248	0.0292	0.151	0.0625	0.0468	0.0728	0.3112	0.2114	0.0676	0.0507	0.0746	0.1794	0.4593	0.0611	0.0936	0.0465	0.0322	0.2276	0.1448	0.0147	0.1392	0.1118	0.289	0.0463	0.2137	0.5426	0.2239	0.4895	0.1596	0.1953	0.1593
D486	0.177	0.2031	0.1695	0.2904	0.0393	0.2651	0.3489	0.3812	0.0082	0.011	0.0288	0.1936	0.0218	0.0497	0.2861	0.0226	0.0309	0.2215	0.0294	0.0436	0.3249	0.0341	0.2086	0.0227	0.0789	0.2037	0.329	0.0392	0.0181	0.2586	0.2819	0.3477	0.5016	0.0664	0.2445	0.3839
D58	0.0398	0.0258	0.062	0.1451	0.0282	0.1506	0.1793	0.1262	0.0504	0.0142	0.0768	0.022	0.2262	0.1303	0.1897	0.0877	0.1555	0.0494	0.1582	0.2206	0.1784	0.0514	0.0223	0.2752	0.1203	0.2197	0.0715	0.3424	0.2006	0.3321	0.225	0.1298	0.1726	0.3796	0.2363	0.2497
2201	0.0665	0.0261	0.0631	0.1317	0.0258	0.2424	0.1256	0.342	0.0447	0.037	0.0611	0.0395	0.1007	0.1425	0.2682	0.0392	0.1061	0.0372	0.1702	0.1016	0.3591	0.0296	0.0352	0.1403	0.1053	0.3298	0.0662	0.0902	0.1928	0.287	0.1782	0.1241	0.3244	0.2789	0.335	0.4772

GGst

Loci	QC-JC-01,  vs  QC-MIT-01,	QC-JC-01,  vs  GU-TB-01,	QC-JC-01,  vs  NS-COU00X1,	QC-JC-01,  vs  NL-SGR-3350,	QC-JC-01,  vs  QC-MUQ-01,	QC-JC-01,  vs  NS-ROH00X1,	QC-JC-01,  vs  NL-NBT-5500,	QC-JC-01,  vs  US-NA11476,	QC-MIT-01,  vs  GU-TB-01,	QC-MIT-01,  vs  NS-COU00X1,	QC-MIT-01,  vs  NL-SGR-3350,	QC-MIT-01,  vs  QC-MUQ-01,	QC-MIT-01,  vs  NS-ROH00X1,	QC-MIT-01,  vs  NL-NBT-5500,	QC-MIT-01,  vs  US-NA11476,	GU-TB-01,  vs  NS-COU00X1,	GU-TB-01,  vs  NL-SGR-3350,	GU-TB-01,  vs  QC-MUQ-01,	GU-TB-01,  vs  NS-ROH00X1,	GU-TB-01,  vs  NL-NBT-5500,	GU-TB-01,  vs  US-NA11476,	NS-COU00X1,  vs  NL-SGR-3350,	NS-COU00X1,  vs  QC-MUQ-01,	NS-COU00X1,  vs  NS-ROH00X1,	NS-COU00X1,  vs  NL-NBT-5500,	NS-COU00X1,  vs  US-NA11476,	NL-SGR-3350,  vs  QC-MUQ-01,	NL-SGR-3350,  vs  NS-ROH00X1,	NL-SGR-3350,  vs  NL-NBT-5500,	NL-SGR-3350,  vs  US-NA11476,	QC-MUQ-01,  vs  NS-ROH00X1,	QC-MUQ-01,  vs  NL-NBT-5500,	QC-MUQ-01,  vs  US-NA11476,	NS-ROH00X1,  vs  NL-NBT-5500,	NS-ROH00X1,  vs  US-NA11476,	NL-NBT-5500,  vs  US-NA11476,
Ssa85	0.04	0.0458	0.0715	0.0594	0.0356	0.0502	0.2711	0.2159	0.0102	0.0625	0.0788	0.0537	0.0396	0.2189	0.1862	0.0679	0.0722	0.0706	0.05	0.264	0.1319	0.0141	0.0744	0.1144	0.1872	0.1247	0.0563	0.1126	0.2407	0.0987	0.0764	0.2487	0.2387	0.1889	0.2002	0.3685
Ssa197	0.0452	0.0211	0.0398	0.0449	0.0466	0.0502	0.1375	0.1476	0.0523	0.0363	0.0373	0.0166	0.0416	0.1121	0.2038	0.0309	0.031	0.0342	0.0433	0.0887	0.1862	0.0063	0.0189	0.0179	0.1001	0.1565	0.0303	0.0309	0.1175	0.2111	0.0203	0.0663	0.1618	0.069	0.1466	0.2535
Ssa202	0.0623	0.0773	0.0366	0.0371	0.1297	0.1079	0.1126	0.1349	0.0803	0.0575	0.0518	0.0984	0.0916	0.106	0.2096	0.0858	0.1047	0.0477	0.1051	0.0898	0.1144	0.008	0.1267	0.0913	0.0726	0.1527	0.1374	0.0791	0.0836	0.1833	0.1307	0.1433	0.173	0.1459	0.1195	0.1407
SsaD71	0.0304	0.0432	0.0317	0.0443	0.011	0.1093	0.1007	0.2023	0.038	0.0355	0.0364	0.0374	0.142	0.1031	0.1702	0.0188	0.0259	0.05	0.1386	0.1146	0.159	-5e-04	0.0278	0.1373	0.1053	0.1719	0.0478	0.1558	0.1118	0.1881	0.1175	0.0966	0.2045	0.2317	0.3314	0.1237
SsaD85	0.0249	0.0759	0.021	0.0406	0.0884	0.0798	0.0361	0.201	0.0813	0.0313	0.0398	0.0567	0.1084	0.0978	0.1535	0.0264	0.0564	0.2024	0.1319	0.1081	0.1984	0.0239	0.1139	0.0966	0.0657	0.1888	0.1404	0.0611	0.0763	0.1853	0.2263	0.1872	0.2402	0.0995	0.3052	0.2737
SsaD144	0.0209	0.042	0.0568	0.0779	0.0555	0.2429	0.1949	0.1695	0.0447	0.0527	0.0794	0.0209	0.2532	0.1759	0.141	0.0488	0.1018	0.0522	0.1927	0.1539	0.2288	0.0405	0.0346	0.1598	0.124	0.2493	0.0592	0.2601	0.1796	0.2617	0.224	0.1443	0.2007	0.307	0.3537	0.3685
Ssosl417	0.1814	0.2875	0.0773	0.1474	0.1186	0.5661	0.1605	0.1941	0.063	0.1376	0.1193	0.3145	0.3268	0.2709	0.3378	0.1544	0.1032	0.3717	0.179	0.3263	0.452	0.0703	0.1917	0.3743	0.2479	0.2475	0.1586	0.221	0.2951	0.3086	0.54	0.3521	0.3863	0.6187	0.579	0.2917
Sssp2210	0.0858	0.1037	0.1284	0.1332	0.1631	0.0853	0.0701	0.1755	0.1332	0.0978	0.0702	0.1372	0.1455	0.0517	0.1754	0.0367	0.1011	0.2348	0.1522	0.1328	0.0196	0.0326	0.1268	0.1079	0.0718	0.0287	0.0632	0.134	0.0239	0.1103	0.0864	0.0355	0.2482	0.0855	0.1818	0.1662
Sssp2215	0.059	0.038	0.0259	0.0176	0.0341	0.0386	0.0723	0.0857	0.0224	0.0247	0.0467	0.0711	0.0544	0.1009	0.0612	0.0165	0.0352	0.0652	0.0162	0.0951	0.0462	0.0037	0.0353	0.0143	0.0466	0.083	0.0235	0.0234	0.0433	0.1175	0.0583	0.0526	0.1608	0.0608	0.0615	0.1411
Sssp2216	0.1199	0.0939	0.1505	0.2079	0.1912	0.1013	0.3402	0.1722	0.0699	0.0686	0.1381	0.1145	0.132	0.1779	0.2982	0.1338	0.2228	0.1435	0.1427	0.3263	0.2177	0.0351	0.0349	0.1525	0.1484	0.3025	0.0671	0.2298	0.1041	0.3539	0.1793	0.1901	0.3002	0.2559	0.1484	0.4841
SsspG7	0.047	0.0614	0.1313	0.2688	0.1336	0.0832	0.349	0.2206	0.0066	0.0653	0.113	0.0796	0.0338	0.1692	0.1528	0.0464	0.0973	0.0883	0.0437	0.1565	0.1532	0.0568	0.1433	0.0575	0.1739	0.1077	0.1345	0.1058	0.0556	0.1648	0.0967	0.18	0.2582	0.1994	0.1208	0.2519
u3	0.0524	0.1376	0.026	0.0165	0.1717	0.2563	0.0334	0.1751	0.0728	0.0532	0.0823	0.3451	0.2414	0.0768	0.0598	0.0861	0.203	0.5029	0.0732	0.108	0.056	0.0363	0.2542	0.1663	0.0167	0.1605	0.1267	0.3229	0.0522	0.2425	0.5875	0.2508	0.536	0.1831	0.2295	0.1834
D486	0.1974	0.2263	0.1891	0.3246	0.0441	0.2907	0.388	0.4188	0.0094	0.0127	0.0339	0.2146	0.0249	0.0587	0.321	0.026	0.0366	0.2451	0.0337	0.0518	0.363	0.0402	0.2304	0.0259	0.0926	0.2316	0.3641	0.0458	0.0221	0.2971	0.3073	0.3854	0.5392	0.0777	0.2749	0.4321
D58	0.0408	0.0264	0.0634	0.148	0.0289	0.1545	0.1835	0.1295	0.0515	0.0145	0.0783	0.0225	0.2312	0.1333	0.1942	0.0895	0.1584	0.0505	0.1621	0.2254	0.1827	0.0524	0.0228	0.2808	0.1231	0.2245	0.0729	0.3486	0.2047	0.3381	0.23	0.1328	0.1768	0.3874	0.2426	0.2559
2201	0.0679	0.0267	0.0644	0.1343	0.0264	0.2469	0.1283	0.3499	0.0456	0.0378	0.0624	0.0404	0.1028	0.1454	0.2749	0.04	0.1082	0.038	0.1735	0.1037	0.367	0.0302	0.0359	0.143	0.1074	0.3371	0.0675	0.0921	0.1963	0.2937	0.1817	0.1267	0.3319	0.2839	0.3429	0.4859

D

Loci	QC-JC-01,  vs  QC-MIT-01,	QC-JC-01,  vs  GU-TB-01,	QC-JC-01,  vs  NS-COU00X1,	QC-JC-01,  vs  NL-SGR-3350,	QC-JC-01,  vs  QC-MUQ-01,	QC-JC-01,  vs  NS-ROH00X1,	QC-JC-01,  vs  NL-NBT-5500,	QC-JC-01,  vs  US-NA11476,	QC-MIT-01,  vs  GU-TB-01,	QC-MIT-01,  vs  NS-COU00X1,	QC-MIT-01,  vs  NL-SGR-3350,	QC-MIT-01,  vs  QC-MUQ-01,	QC-MIT-01,  vs  NS-ROH00X1,	QC-MIT-01,  vs  NL-NBT-5500,	QC-MIT-01,  vs  US-NA11476,	GU-TB-01,  vs  NS-COU00X1,	GU-TB-01,  vs  NL-SGR-3350,	GU-TB-01,  vs  QC-MUQ-01,	GU-TB-01,  vs  NS-ROH00X1,	GU-TB-01,  vs  NL-NBT-5500,	GU-TB-01,  vs  US-NA11476,	NS-COU00X1,  vs  NL-SGR-3350,	NS-COU00X1,  vs  QC-MUQ-01,	NS-COU00X1,  vs  NS-ROH00X1,	NS-COU00X1,  vs  NL-NBT-5500,	NS-COU00X1,  vs  US-NA11476,	NL-SGR-3350,  vs  QC-MUQ-01,	NL-SGR-3350,  vs  NS-ROH00X1,	NL-SGR-3350,  vs  NL-NBT-5500,	NL-SGR-3350,  vs  US-NA11476,	QC-MUQ-01,  vs  NS-ROH00X1,	QC-MUQ-01,  vs  NL-NBT-5500,	QC-MUQ-01,  vs  US-NA11476,	NS-ROH00X1,  vs  NL-NBT-5500,	NS-ROH00X1,  vs  US-NA11476,	NL-NBT-5500,  vs  US-NA11476,
Ssa85	0.0313	0.036	0.0584	0.0483	0.0283	0.04	0.2322	0.1784	0.0077	0.0498	0.0628	0.0418	0.0307	0.1816	0.1494	0.0542	0.0576	0.0553	0.0389	0.2216	0.1046	0.0115	0.0603	0.0933	0.1591	0.102	0.0454	0.0917	0.2064	0.0801	0.0607	0.2104	0.1966	0.1577	0.1633	0.3194
Ssa197	0.04	0.0189	0.0357	0.0402	0.0415	0.0449	0.1242	0.1313	0.0465	0.0322	0.033	0.0145	0.0368	0.0998	0.1807	0.0278	0.0279	0.0306	0.039	0.08	0.1673	0.0056	0.0169	0.016	0.0902	0.1396	0.0269	0.0276	0.106	0.1896	0.018	0.0591	0.1436	0.0618	0.1303	0.2284
Ssa202	0.0565	0.0701	0.0329	0.0333	0.1187	0.0976	0.1025	0.1225	0.0737	0.0525	0.0471	0.0909	0.0838	0.0976	0.1938	0.0784	0.0956	0.0438	0.0961	0.0824	0.1047	0.0072	0.1167	0.083	0.0663	0.1397	0.1263	0.0717	0.0761	0.1677	0.1204	0.1327	0.1599	0.134	0.1089	0.1291
SsaD71	0.0289	0.0412	0.0301	0.0423	0.0105	0.104	0.0959	0.1941	0.0364	0.0339	0.0349	0.0356	0.1357	0.0984	0.1634	0.018	0.0248	0.0476	0.1326	0.1096	0.1528	-5e-04	0.0264	0.1312	0.1006	0.1652	0.0456	0.1493	0.107	0.1811	0.1117	0.0917	0.1959	0.2217	0.3196	0.1181
SsaD85	0.0237	0.0728	0.02	0.0387	0.0841	0.076	0.0343	0.1926	0.078	0.0298	0.0379	0.0538	0.1034	0.0933	0.1467	0.0253	0.0541	0.1945	0.1266	0.1037	0.191	0.0228	0.1086	0.0923	0.0626	0.1812	0.1339	0.0582	0.0727	0.1776	0.2165	0.1787	0.2299	0.0947	0.2938	0.263
SsaD144	0.0199	0.04	0.0543	0.0746	0.0529	0.2328	0.1866	0.1606	0.0425	0.0504	0.076	0.0199	0.2427	0.1682	0.1333	0.0467	0.0976	0.0498	0.1844	0.1472	0.2178	0.0389	0.0331	0.1532	0.1189	0.2384	0.0568	0.2507	0.1727	0.2506	0.2148	0.1381	0.1909	0.2953	0.3385	0.3536
Ssosl417	0.163	0.2577	0.0682	0.1293	0.1029	0.5052	0.1388	0.1681	0.0551	0.1233	0.105	0.2828	0.277	0.24	0.3014	0.136	0.0888	0.3321	0.1439	0.287	0.4055	0.0611	0.1686	0.3194	0.2179	0.2167	0.1365	0.1791	0.2578	0.2693	0.4724	0.3091	0.3402	0.55	0.5075	0.2501
Sssp2210	0.0647	0.0724	0.093	0.1011	0.1263	0.0609	0.0529	0.1204	0.0974	0.0727	0.0542	0.109	0.1097	0.0402	0.1249	0.0246	0.0727	0.1782	0.1061	0.0975	0.012	0.0236	0.0956	0.0762	0.0533	0.0183	0.049	0.1	0.0183	0.0762	0.0644	0.0277	0.1823	0.0636	0.1227	0.1185
